Date,2019-09-30,2018-09-30
Depreciation & Amortization,0.0,0.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,-1953021.0,-1537356.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,-0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,68955393.0,-143370877.0
Issuance (repayment) of debt,-0.0,-0.0
Issuance (buybacks) of shares,0.0,-597268.0
Dividend payments,-0.0,-0.0
Financing Cash Flow,-67129933.0,145505501.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-127561.0,597268.0
Free Cash Flow,-1953021.0,-1537356.0
Net Cash/Marketcap,0.0,0.0
