Date,2017-12,2016-12,2015-12,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,,,,,168000.0,,1523000.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,,,,,0.0,,0.0,0.0
Gross Profit,,,,,0.0,,0.0,0.0
R&D Expenses,,,,,0.0,,0.0,0.0
SG&A Expense,,,,,57154000.0,,57529000.0,0.0
Operating Expenses,,,,,57154000.0,,57529000.0,0.0
Operating Income,,,,,15173000.0,,15938000.0,0.0
Interest Expense,,,,,25640000.0,,30973000.0,0.0
Earnings before Tax,,,,,15173000.0,,15938000.0,0.0
Income Tax Expense,,,,,2595000.0,,1759000.0,0.0
Net Income - Non-Controlling int,,,,,0.0,,0.0,0.0
Net Income - Discontinued ops,,,,,0.0,,0.0,0.0
Net Income,24000000.0,25000000.0,23000000.0,18000000.0,12578000.0,13000000.0,14179000.0,0.0
Preferred Dividends,,,,,0.0,,0.0,0.0
Net Income Com,24000000.0,25000000.0,23000000.0,18000000.0,12578000.0,13000000.0,14179000.0,0.0
EPS,0.33,0.34,0.29,0.25,0.17,0.17,0.18,0.0
EPS Diluted,0.32,0.34,0.29,0.24,0.17,0.17,0.18,0.0
Weighted Average Shs Out,71000000.0,72000000.0,79000000.0,73000000.0,75841392.0,76000000.0,76657265.0,0.0
Weighted Average Shs Out (Dil),71000000.0,73000000.0,79000000.0,74000000.0,76085398.0,76000000.0,76827872.0,0.0
Dividend per Share,,,,,0.0,,0.0,0.0
Gross Margin,,,,,0.0,,0.0,0.0
EBITDA Margin,,,,,138.56547619,,24.3782009192,0.0
EBIT Margin,,,,,90.3154761905,,10.4648719632,0.0
Profit Margin,,,,,74.869047619,,9.30991464215,0.0
Free Cash Flow margin,,,,,158.023809524,,34.353906763,0.0
EBITDA,,,,,23279000.0,,37128000.0,0.0
EBIT,24000000,25000000,23000000,18000000,15173000.0,13000000,15938000.0,0.0
Consolidated Income,24000000.0,25000000.0,23000000.0,18000000.0,12578000.0,13000000.0,14179000.0,0.0
Earnings Before Tax Margin,,,,,90.3154761905,,10.4648719632,0.0
Net Profit Margin,,,,,74.869047619,,9.30991464215,0.0
