Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,6480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618000.0,0.0,0.0,0.0,0.0,117065000.0,113295000.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0332759609868044,0.2559
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117065000.0,113295000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,76524000.0,79751000.0,76934000.0,79172000.0,0.0,0.0,0.0,85283000.0,0.0,0.0,0.0,91957000.0,0.0,0.0,45778000.0,0.0,96630000.0,70411000.0
Operating Expenses,76524000.0,79751000.0,76934000.0,79172000.0,0.0,0.0,0.0,85283000.0,0.0,0.0,0.0,91957000.0,0.0,0.0,45778000.0,0.0,111529000.0,83378000.0
Operating Income,84410000.0,52646000.0,59186000.0,-2504000.0,0.0,0.0,0.0,85181000.0,0.0,0.0,0.0,98446000.0,0.0,0.0,24555000.0,0.0,5536000.0,29917000.0
Interest Expense,44525000.0,41475000.0,57165000.0,69196000.0,0.0,0.0,0.0,76782000.0,0.0,0.0,0.0,83960000.0,0.0,0.0,105471000.0,0.0,0.0,0.0
Earnings before Tax,132800000.0,68089000.0,85180000.0,-3760000.0,0.0,0.0,0.0,-3096000.0,0.0,0.0,0.0,-3154000.0,0.0,0.0,1848000.0,0.0,5536000.0,29917000.0
Income Tax Expense,48390000.0,15443000.0,25994000.0,-17554000.0,0.0,0.0,0.0,37252000.0,0.0,0.0,0.0,-8709000.0,0.0,0.0,3301000.0,0.0,-4298000.0,6972000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,84410000.0,52646000.0,59186000.0,-2504000.0,0.0,0.0,0.0,85181000.0,0.0,0.0,0.0,98446000.0,0.0,0.0,24555000.0,0.0,9834000.0,22945000.0
Preferred Dividends,12024000.0,13862000.0,13862000.0,13862000.0,0.0,0.0,0.0,13862000.0,0.0,0.0,0.0,13862000.0,0.0,0.0,9939000.0,0.0,28046000.0,4802000.0
Net Income Com,84410000.0,52646000.0,59186000.0,-2504000.0,0.0,0.0,0.0,85181000.0,0.0,0.0,0.0,98446000.0,0.0,0.0,24555000.0,0.0,-18212000.0,18143000.0
EPS,1.59,0.88,1.03,-0.37,0.0,0.0,0.0,1.58,0.0,0.0,0.0,1.85,0.0,0.0,0.35,0.0,-0.5,0.75
EPS Diluted,1.52,0.88,1.03,-0.37,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.73,0.0,0.0,0.35,0.0,-0.5,0.75
Weighted Average Shs Out,45400000.0,43939000.0,43913000.0,44231000.0,0.0,0.0,0.0,45024000.0,0.0,0.0,0.0,45706000.0,0.0,0.0,0.0,0.0,46317008.0,24233762.0
Weighted Average Shs Out (Dil),51349000.0,51096000.0,51088000.0,51455000.0,0.0,0.0,0.0,52326000.0,0.0,0.0,0.0,53033000.0,0.0,0.0,0.0,0.0,36810000.0,24306000.0
Dividend per Share,0.249196673742,0.206532801002,0.19850062637,0.345175395977,0.0,0.0,0.0,0.276707564117,0.0,0.0,0.0,0.203439367941,0.0,0.0,0.0,0.0,0.17,0.16
Gross Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
