Date,2018-12-31,2018-01-01,2017-12,2017-01-02,2016-12,2015-12-28,2015-12,2014-12-29,2014-12,2013-12
Revenue,126429000.0,118661000.0,119000000.0,126883000.0,127000000.0,120209000.0,120000000.0,97399000.0,97000000.0,80000000.0
Revenue Growth,0.0654638002376518,-0.00284873949579832,-0.0621281022674432,-0.000921259842519685,0.0564932742140771,0.00174166666666667,0.232045503547264,0.00411340206185567,0.2125,
Cost of Revenue,49194000.0,95916000.0,73000000.0,85792000.0,77000000.0,73002000.0,67000000.0,47790000.0,45000000.0,36000000.0
Gross Profit,77235000.0,22745000.0,46000000.0,41091000.0,50000000.0,47207000.0,54000000.0,49609000.0,53000000.0,45000000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,
SG&A Expense,49731000.0,33870000.0,34000000.0,28108000.0,28000000.0,28207000.0,28000000.0,29263000.0,29000000.0,24000000.0
Operating Expenses,65966000.0,37013000.0,44000000.0,31443000.0,40000000.0,31572000.0,38000000.0,34304000.0,37000000.0,31000000.0
Operating Income,11269000.0,-14268000.0,1000000.0,9648000.0,10000000.0,15635000.0,15000000.0,15305000.0,15000000.0,14000000.0
Interest Expense,5212000.0,5078000.0,000000.0,0.0,000000.0,0.0,000000.0,8098000.0,8000000.0,11000000.0
Earnings before Tax,5807000.0,-19550000.0,-20000000.0,4592000.0,5000000.0,6479000.0,6000000.0,2483000.0,2000000.0,-2000000.0
Income Tax Expense,1483000.0,-19543000.0,-20000000.0,1943000.0,2000000.0,2068000.0,2000000.0,1235000.0,1000000.0,1000000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income,4324000.0,-7000.0,-0000000.0,2649000.0,3000000.0,4911000.0,5000000.0,1248000.0,1000000.0,-3000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,2150000.0,,
Net Income Com,4324000.0,-7000.0,-0000000.0,2649000.0,3000000.0,4911000.0,5000000.0,1248000.0,1000000.0,-3000000.0
EPS,0.26,0.0,-0.00,0.16,0.16,0.29,0.29,-0.07,-0.07,-5.29
EPS Diluted,0.25,0.0,-0.00,0.16,0.16,0.29,0.29,-0.07,-0.07,-5.29
Weighted Average Shs Out,16929764.0,16870013.0,17000000.0,16743285.0,17000000.0,16653127.0,17000000.0,12101236.0,12000000.0,2000000.0
Weighted Average Shs Out (Dil),17000858.0,16870013.0,17000000.0,16773493.0,17000000.0,16870693.0,17000000.0,12101236.0,12000000.0,2000000.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,
Gross Margin,0.61089623425,0.191680501597,0.38655462184874,0.32384953067,0.39370078740157,0.392707700755,0.45,0.509337878212,0.54639175257732,0.5625
EBITDA Margin,0.146406283369,-0.0321588390457,0.10084033613445,0.172473853865,0.17322834645669,0.213270221032,0.20833333333333,0.24558773704,0.19587628865979,0.2
EBIT Margin,0.0891330311875,-0.120241696935,-0.16806722689076,0.0760385552044,0.039370078740157,0.130065136554,0.058333333333333,0.157137136932,0.10309278350515,0.1125
Profit Margin,0.0342010140079,-5.89915810586e-05,-0,0.0208775013201,0.023622047244094,0.0408538462178,0.041666666666667,0.0128132732369,0.010309278350515,-0.0375
Free Cash Flow margin,0.0764381589667,0.0973361087468,,-0.00950481940055,,0.11074877921,,0.117475538763,,
EBITDA,18510000.0,-3816000.0,12000000.0,21884000.0,22000000.0,25637000.0,25000000.0,23920000.0,19000000.0,16000000.0
EBIT,11269000.0,-14268000.0,-20000000,9648000.0,5000000,15635000.0,7000000,15305000.0,10000000,9000000
Consolidated Income,4324000.0,-7000.0,-0000000.0,2649000.0,3000000.0,4911000.0,5000000.0,1248000.0,1000000.0,-3000000.0
Earnings Before Tax Margin,0.0459309177483,-0.164755058528,-0.16806722689076,0.0361908214654,0.039370078740157,0.0538977946743,0.05,0.0254930748776,0.020618556701031,-0.025
Net Profit Margin,0.0342010140079,-5.89915810586e-05,-0,0.0208775013201,0.023622047244094,0.0408538462178,0.041666666666667,0.0128132732369,0.010309278350515,-0.0375
