Date,2018-12-31,2017-12-31
Cash and cash equivalents,63105000.0,12744000.0
Short-term investments,0.0,
Cash and short-term investments,63105000.0,12744000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,63577000.0,12849000.0
Property Plant & Equipment Net,9212000.0,1385000.0
Goodwill and Intangible Assets,0.0,
Long-term investments,0.0,91000.0
Tax assets,0.0,
Total non-current assets,9303000.0,
Total assets,72880000.0,14326000.0
Payables,1241000.0,265000.0
Short-term debt,917000.0,
Total current liabilities,3635000.0,10715000.0
Long-term debt,7952000.0,0.0
Total debt,8869000.0,
Deferred revenue,0.0,
Tax Liabilities,0.0,
Deposit Liabilities,0.0,
Total non-current liabilities,7952000.0,
Total liabilities,11587000.0,11743000.0
Other comprehensive income,0.0,
Retained earnings (deficit),-20914000.0,-1827000.0
Total shareholders equity,-18417000.0,-940000.0
Investments,0.0,
Net Debt,-54236000.0,
Other Assets,472000.0,105193.0
Other Liabilities,1477000.0,
