Date,2018-12-31,2017-12-31
Depreciation & Amortization,138000.0,52000.0
Stock-based compensation,1147000.0,344000.0
Operating Cash Flow,-23533000.0,-12640000.0
Capital Expenditure,-302000.0,-88000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-302000.0,-88000.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,76000.0,63000.0
Dividend payments,0.0,0.0
Financing Cash Flow,79831000.0,44851000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,55996000.0,32123000.0
Free Cash Flow,-23835000.0,-12728000.0
Net Cash/Marketcap,0.1041,0.1041
