Date,2017-12,2016-12,2015-12,2014-12,2013-12,2011-12-31
Revenue,151000000.0,122000000.0,102000000.0,92000000.0,61000000.0,0.0
Revenue Growth,0.237704918032787,0.196078431372549,0.108695652173913,0.508196721311475,0.0,0.0
Cost of Revenue,83000000.0,68000000.0,57000000.0,50000000.0,43000000.0,0.0
Gross Profit,67000000.0,54000000.0,45000000.0,42000000.0,19000000.0,0.0
R&D Expenses,,,,,,0.0
SG&A Expense,58000000.0,49000000.0,41000000.0,33000000.0,19000000.0,0.0
Operating Expenses,72000000.0,62000000.0,54000000.0,44000000.0,22000000.0,0.0
Operating Income,-5000000.0,-8000000.0,-9000000.0,-2000000.0,-4000000.0,0.0
Interest Expense,9000000.0,7000000.0,6000000.0,6000000.0,3000000.0,0.0
Earnings before Tax,-14000000.0,-14000000.0,-16000000.0,-3000000.0,-5000000.0,0.0
Income Tax Expense,0000000.0,-2000000.0,-8000000.0,0000000.0,0000000.0,0.0
Net Income - Non-Controlling int,,,,,,0.0
Net Income - Discontinued ops,,,,,,0.0
Net Income,-14000000.0,-13000000.0,-8000000.0,-3000000.0,-5000000.0,0.0
Preferred Dividends,,,,,,0.0
Net Income Com,-14000000.0,-13000000.0,-8000000.0,-3000000.0,-5000000.0,0.0
EPS,-1.08,-1.47,-1.98,-1.38,-1.50,0.0
EPS Diluted,-1.08,-1.47,-1.98,-1.38,-1.50,0.0
Weighted Average Shs Out,15000000.0,10000000.0,6000000.0,5000000.0,3000000.0,0.0
Weighted Average Shs Out (Dil),15000000.0,10000000.0,6000000.0,5000000.0,3000000.0,0.0
Dividend per Share,,,,,,0.0
Gross Margin,0.44370860927152,0.44262295081967,0.44117647058824,0.45652173913043,0.31147540983607,0.0
EBITDA Margin,0.059602649006623,0.049180327868852,0.029411764705882,0.15217391304348,0.016393442622951,0.0
EBIT Margin,-0.033112582781457,-0.065573770491803,-0.098039215686275,0.032608695652174,-0.032786885245902,0.0
Profit Margin,-0.092715231788079,-0.10655737704918,-0.07843137254902,-0.032608695652174,-0.081967213114754,0.0
Free Cash Flow margin,,,,,,0.0
EBITDA,9000000.0,6000000.0,3000000.0,14000000.0,1000000.0,0.0
EBIT,-5000000,-8000000,-10000000,3000000,-2000000,0.0
Consolidated Income,-14000000.0,-13000000.0,-8000000.0,-3000000.0,-5000000.0,0.0
Earnings Before Tax Margin,-0.092715231788079,-0.11475409836066,-0.15686274509804,-0.032608695652174,-0.081967213114754,0.0
Net Profit Margin,-0.092715231788079,-0.10655737704918,-0.07843137254902,-0.032608695652174,-0.081967213114754,0.0
