Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2013-12-31,2012-12-31
Revenue,28967980.0,33351509.0,40602599.0,33916249.0,11051383.0,12687061.0
Revenue Growth,-0.1314342028722,-0.17858684366486,0.197142968256897,2.06895969490877,-0.128924894425904,
Cost of Revenue,3309307.0,4283173.0,8464851.0,7214336.0,2828119.0,4358653.0
Gross Profit,25658673.0,29068336.0,32137748.0,26701913.0,8223264.0,8328408.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,2060316.0,1590395.0,1524786.0,1210397.0,416181.0,498198.0
Operating Expenses,4107827.0,2922795.0,2723708.0,2393945.0,575393.0,604089.0
Operating Income,21550846.0,26145541.0,29414040.0,24307968.0,7647871.0,7724319.0
Interest Expense,6649567.0,6434924.0,5657154.0,4142013.0,138224.0,89808.0
Earnings before Tax,5522132.0,-19101742.0,8789786.0,12611774.0,9652411.0,15448530.0
Income Tax Expense,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,5522132.0,-19101742.0,8789786.0,12611774.0,9652411.0,15448530.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,5522132.0,-19101742.0,8789786.0,12611774.0,9652411.0,15448530.0
EPS,0.4,-1.37,0.65,0.93,,
EPS Diluted,0.4,-1.37,0.65,0.93,,
Weighted Average Shs Out,13517234.0,14245220.0,13490636.0,13516766.0,,
Weighted Average Shs Out (Dil),13721109.0,13928869.0,13496128.0,13516766.0,,
Dividend per Share,0.72,1.3,1.36,1.36,0.0,0.0
Gross Margin,0.8858,0.8716,0.7915,0.7873,0.7441,0.6564
EBITDA Margin,0.42,-0.38,0.356,0.494,0.886,1.225
EBIT Margin,0.4202,-0.3798,0.3558,0.494,0.8859,1.2247
Profit Margin,0.191,-0.573,0.216,0.372,0.873,1.218
Free Cash Flow margin,2.7042,-0.9437,0.7017,-0.7488,-1.311,-1.0788
EBITDA,12171699.0,-12666818.0,14446940.0,16753787.0,9790635.0,15538338.0
EBIT,12171699.0,-12666818.0,14446940.0,16753787.0,9790635.0,15538338.0
Consolidated Income,5522132.0,-19101742.0,8789786.0,12611774.0,9652411.0,15448530.0
Earnings Before Tax Margin,0.1906,-0.5727,0.2165,0.3719,0.8734,1.2177
Net Profit Margin,0.1906,-0.5727,0.2165,0.3719,0.8734,1.2177
