Date,2018-12-31,2017-12-31
Depreciation & Amortization,517000.0,129000.0
Stock-based compensation,911000.0,535000.0
Operating Cash Flow,-21695000.0,-25252000.0
Capital Expenditure,-2270000.0,-443000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-2270000.0,-443000.0
Issuance (repayment) of debt,15000000.0,5000000.0
Issuance (buybacks) of shares,656000.0,338000.0
Dividend payments,0.0,0.0
Financing Cash Flow,15424000.0,47156000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-8541000.0,21461000.0
Free Cash Flow,-23965000.0,-25695000.0
Net Cash/Marketcap,-0.0263,-0.0263
