Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31
Depreciation & Amortization,2979000.0,2058000.0,1915000.0,2027000.0,1867000.0,1853000.0
Stock-based compensation,6382000.0,5544000.0,4681000.0,3730000.0,3390000.0,3070000.0
Operating Cash Flow,111622000.0,96692000.0,81679000.0,109175000.0,76903000.0,66859000.0
Capital Expenditure,5366000.0,2254000.0,-1275000.0,-921000.0,-3874000.0,-1510000.0
Acquisitions and disposals,-0.0,-0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,-15440000.0,3423000.0,-6185000.0,-778000.0
Investing Cash flow,-19205000.0,-21773000.0,-16715000.0,2502000.0,-10059000.0,-2288000.0
Issuance (repayment) of debt,-13263000.0,-87038000.0,-162600000.0,132308000.0,-15620000.0,-26000000.0
Issuance (buybacks) of shares,144147000.0,-47596000.0,204425000.0,0.0,0.0,0.0
Dividend payments,-18676000.0,-9511000.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-90210000.0,-59671000.0,-101211000.0,-110104000.0,-74901000.0,-46169000.0
Effect of forex changes on cash,8000.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,2207000.0,15248000.0,-36247000.0,1573000.0,-8057000.0,18402000.0
Free Cash Flow,106256000.0,94438000.0,80404000.0,108254000.0,73029000.0,65349000.0
Net Cash/Marketcap,0.0,0.0,-0.0202,-0.0202,-0.0202,-0.0202
