Date,2019-07-31,2018-07-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-355454.0,-1000.0
Capital Expenditure,0.0,
Acquisitions and disposals,0.0,
Investment purchases and sales,-57500000.0,
Investing Cash flow,-57500000.0,
Issuance (repayment) of debt,-51185.0,
Issuance (buybacks) of shares,58462500.0,
Dividend payments,0.0,
Financing Cash Flow,58024603.0,50000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,169149.0,49000.0
Free Cash Flow,-355454.0,
Net Cash/Marketcap,0.7858,0.7856
