Date,2018-12-31,2017-12-31
Depreciation & Amortization,214000.0,113000.0
Stock-based compensation,240000.0,26000.0
Operating Cash Flow,-12521000.0,-5558000.0
Capital Expenditure,-925000.0,-113000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-925000.0,-113000.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,19000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,115639000.0,5974000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,103750000.0,477000.0
Free Cash Flow,-13446000.0,-5671000.0
Net Cash/Marketcap,0.0029,0.0029
