Date,2018-12-31,2017-12-31,2016-12-31
Revenue,0.0,0.0,0.0
Revenue Growth,0.0,0.0,
Cost of Revenue,0.0,0.0,
Gross Profit,0.0,0.0,0.0
R&D Expenses,22649000.0,7684000.0,0.0
SG&A Expense,4165000.0,1456000.0,165000.0
Operating Expenses,26814000.0,9140000.0,660000.0
Operating Income,-26814000.0,-9140000.0,-165000.0
Interest Expense,0.0,0.0,0.0
Earnings before Tax,-26665000.0,-9133000.0,-165000.0
Income Tax Expense,-187000.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,
Net Income,-26478000.0,-9133000.0,
Preferred Dividends,0.0,343000.0,
Net Income Com,-26478000.0,-9476000.0,-165000.0
EPS,-1.19,-1.01,0.0
EPS Diluted,-1.19,-1.01,0.0
Weighted Average Shs Out,22441000.0,33881999.0,33882000.0
Weighted Average Shs Out (Dil),22441000.0,9370000.0,
Dividend per Share,0.0,0.0,
Gross Margin,0.0,0.0,0.0
EBITDA Margin,0.0,,
EBIT Margin,0.0,0.0,0.0
Profit Margin,0.0,,
Free Cash Flow margin,0.0,0.0,
EBITDA,-26814000.0,-9133000.0,
EBIT,-26814000.0,-9133000.0,-660000.0
Consolidated Income,-26478000.0,-9133000.0,
Earnings Before Tax Margin,0.0,0.0,0.0
Net Profit Margin,0.0,0.0,
