Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-1634204.0,-1634204.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-250000000.0,
Investing Cash flow,-248869562.0,-248869562.0
Issuance (repayment) of debt,-174240.0,1137852.0
Issuance (buybacks) of shares,256500000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,251331043.0,1437852.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,827277.0,
Free Cash Flow,-1634204.0,
Net Cash/Marketcap,0.0031,
