Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2013-03-31,2012-12-31,2012-03-31
Revenue,40709621.0,44017748.0,44000000.0,8352236.0,8000000.0,13755140.0,14000000.0,834482.0,1000000.0,4800.0,0000000.0,0.0,10660.0,0.0
Revenue Growth,-0.0751543899974165,0.000403363636363636,4.26805037597118,0.0440295,-0.418399231123784,-0.01749,15.7768747558366,-0.165518,207.333333333333,1,0.0,-1,0.0,0.0
Cost of Revenue,51578914.0,53002499.0,53000000.0,10630233.0,11000000.0,14527201.0,15000000.0,4303784.0,4000000.0,2400.0,0000000.0,0.0,5341.0,0.0
Gross Profit,-13405891.0,-8984751.0,-9000000.0,-2277997.0,-2000000.0,-772061.0,-1000000.0,-3469302.0,-3000000.0,2400.0,0000000.0,0.0,5319.0,0.0
R&D Expenses,0.0,456288.0,0000000.0,486128.0,0000000.0,979893.0,1000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0
SG&A Expense,11654363.0,8441933.0,8000000.0,5892235.0,6000000.0,7011765.0,7000000.0,5727146.0,6000000.0,3578562.0,4000000.0,0.0,2407868.0,0.0
Operating Expenses,106236390.0,69929967.0,17000000.0,21676393.0,11000000.0,25933311.0,11000000.0,10504289.0,6000000.0,3578562.0,4000000.0,0.0,2407868.0,0.0
Operating Income,-65526769.0,-25912219.0,-26000000.0,-13324157.0,-13000000.0,-12178171.0,-12000000.0,-9669807.0,-10000000.0,-3576162.0,-4000000.0,0.0,-2402549.0,0.0
Interest Expense,1685117.0,1948997.0,2000000.0,3978728.0,4000000.0,4007974.0,4000000.0,2013024.0,2000000.0,0.0,000000.0,0.0,0.0,0.0
Earnings before Tax,-67486414.0,0.0,-28000000.0,0.0,-18000000.0,0.0,-13000000.0,0.0,-7000000.0,-3576162.0,-4000000.0,0.0,-2402549.0,0.0
Income Tax Expense,-1.0,-633529.0,-1000000.0,305320.0,0000000.0,344314.0,0000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,-87867070.0,-26946877.0,-27000000.0,-17925248.0,-18000000.0,-13394751.0,-13000000.0,-7142382.0,-7000000.0,-3576162.0,-4000000.0,0.0,-2402549.0,0.0
Preferred Dividends,900000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,-87867070.0,-26946877.0,-27000000.0,-17925248.0,-18000000.0,-13394751.0,-13000000.0,-7142382.0,-7000000.0,-3576162.0,-4000000.0,0.0,-2402549.0,0.0
EPS,-4.69,-0.41,-0.41,-1.32,-1.32,-1.35,-1.35,-1.48,-1.48,-2.03,-2.03,0.0,-9.12,0.0
EPS Diluted,-4.69,-0.41,-0.41,-1.32,-1.32,-1.35,-1.35,-1.48,-1.48,-2.03,-2.03,0.0,-9.12,0.0
Weighted Average Shs Out,18726628.0,66065417.0,66000000.0,13615428.0,14000000.0,9888191.0,10000000.0,4812656.0,5000000.0,1758237.0,2000000.0,75493885.0,,75493885.0
Weighted Average Shs Out (Dil),18726628.0,66065417.0,66000000.0,13615428.0,14000000.0,9888191.0,10000000.0,4812656.0,5000000.0,1758237.0,2000000.0,75493885.0,263553.0,75493885.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Gross Margin,-0.329305227381,-0.204116553169,-0.20454545454545,-0.272740976189,-0.25,-0.0561289089024,-0.071428571428571,-4.15743179601,-3,0.5,,0.0,0.499,0.0
EBITDA Margin,-1.25909413404,-0.395821589964,-0.40909090909091,-1.00581808273,-1.125,-0.618545794518,-0.42857142857143,-11.026958041,-5,-743.813125,,0.0,-225.159,0.0
EBIT Margin,-1.6096138306,-0.588676617441,-0.59090909090909,-1.59528023394,-1.75,-0.885354202138,-0.64285714285714,-11.5877957823,-5,-745.03375,,0.0,-225.3798,0.0
Profit Margin,-2.15838585184,-0.612182090733,-0.61363636363636,-2.14616157877,-2.25,-0.973799685063,-0.92857142857143,-8.55906059088,-7,-745.03375,,0.0,-225.38,0.0
Free Cash Flow margin,-0.575395187295,-1.13299294639,,-1.18147224288,,-2.3327567004,,-42.5744569685,,-1146.86354167,,0.0,-179.4435,0.0
EBITDA,-51257245.0,-17423175.0,-18000000.0,-8400830.0,-9000000.0,-8508184.0,-6000000.0,-9201798.0,-5000000.0,-3570303.0,-4000000.0,0.0,-2400190.0,0.0
EBIT,-65526769.0,-25912219.0,-26000000,-13324157.0,-14000000,-12178171.0,-9000000,-9669807.0,-5000000,-3576162.0,-4000000,0.0,-2402549.0,0.0
Consolidated Income,-87867070.0,-26946877.0,-27000000.0,-17925248.0,-18000000.0,-13394751.0,-13000000.0,-7142382.0,-7000000.0,-3576162.0,-4000000.0,0.0,-2402549.0,0.0
Earnings Before Tax Margin,-1.65775097734,0.0,-0.63636363636364,0.0,-2.25,0.0,-0.92857142857143,0.0,-7,-745.03375,,0.0,-225.3798,0.0
Net Profit Margin,-2.15838585184,-0.612182090733,-0.61363636363636,-2.14616157877,-2.25,-0.973799685063,-0.92857142857143,-8.55906059088,-7,-745.03375,,0.0,-225.3798,0.0
