Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,12415000.0,7543000.0,6089000.0,6324000.0,2580000.0
Stock-based compensation,10708000.0,10280000.0,6214000.0,11617000.0,8396000.0
Operating Cash Flow,-76037000.0,-64270000.0,-72189000.0,7468000.0,-36851000.0
Capital Expenditure,2384000.0,4461000.0,15288000.0,-7607000.0,-22195000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,0.0,-1448000.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-4245000.0,-5583000.0,-17785000.0,-8022000.0,-23942000.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,-186000.0,9335000.0
Issuance (buybacks) of shares,-230073000.0,-155327000.0,-129903000.0,160877000.0,85058000.0
Dividend payments,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,157961000.0,90074000.0,2445000.0,160691000.0,94393000.0
Effect of forex changes on cash,-2187000.0,7306000.0,-1601000.0,-3198000.0,-1689000.0
Net cash flow / Change in cash,234898000.0,27527000.0,-89130000.0,156939000.0,31911000.0
Free Cash Flow,-78421000.0,-68731000.0,-87477000.0,-139000.0,-59046000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.7515,0.7515
