Date,2018-12-31,2017-12-31
Depreciation & Amortization,463538.0,207957.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,-414604.0,6989680.0
Capital Expenditure,-44829.0,-53737.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,15281440.0,-13793823.0
Investing Cash flow,10801986.0,-15814920.0
Issuance (repayment) of debt,-333367.0,1394975.0
Issuance (buybacks) of shares,0.0,8772355.0
Dividend payments,0.0,0.0
Financing Cash Flow,-426221.0,10167330.0
Effect of forex changes on cash,-501935.0,72267.0
Net cash flow / Change in cash,9459226.0,1414357.0
Free Cash Flow,-459433.0,6935943.0
Net Cash/Marketcap,,
