Date,2018-12-31
Depreciation & Amortization,-8383000.0
Stock-based compensation,166000.0
Operating Cash Flow,62161000.0
Capital Expenditure,10044000.0
Acquisitions and disposals,-0.0
Investment purchases and sales,-460141000.0
Investing Cash flow,206509000.0
Issuance (repayment) of debt,-0.0
Issuance (buybacks) of shares,-67802000.0
Dividend payments,-40000000.0
Financing Cash Flow,-336405000.0
Effect of forex changes on cash,0.0
Net cash flow / Change in cash,-67735000.0
Free Cash Flow,52117000.0
Net Cash/Marketcap,0.0
