Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-649276.0,-331.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,
Investment purchases and sales,-116150000.0,
Investing Cash flow,-115888102.0,-115888102.0
Issuance (repayment) of debt,-189852.0,294814.0
Issuance (buybacks) of shares,0.0,60000.0
Dividend payments,-0.0,0.0
Financing Cash Flow,116721014.0,53136.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,183636.0,
Free Cash Flow,-649276.0,
Net Cash/Marketcap,0.0,
