Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-04-30,2013-04,2012-04-30
Revenue,1059100000.0,1059000000.0,987600000.0,988000000.0,1157700000.0,1158000000.0,1104000000.0,1104000000.0,0.0,576900000.0,577000000.0,611800000.0
Revenue Growth,0.0000944287063267233,0.0722964763061968,-0.000404858299595142,-0.14658374362961,-0.000259067357512953,0.0489130434782609,0,0.0,-1,-0.000173310225303293,-0.0568813337692056,0.0
Cost of Revenue,480200000.0,480000000.0,455600000.0,456000000.0,543800000.0,544000000.0,513900000.0,514000000.0,0.0,256300000.0,256000000.0,282400000.0
Gross Profit,578900000.0,579000000.0,532000000.0,532000000.0,613900000.0,614000000.0,590100000.0,590000000.0,0.0,320600000.0,321000000.0,329400000.0
R&D Expenses,104500000.0,104000000.0,96500000.0,96000000.0,131400000.0,131000000.0,118300000.0,118000000.0,0.0,55700000.0,56000000.0,58600000.0
SG&A Expense,367900000.0,368000000.0,339800000.0,340000000.0,363000000.0,363000000.0,344700000.0,345000000.0,0.0,221000000.0,221000000.0,222900000.0
Operating Expenses,610700000.0,527000000.0,436300000.0,411000000.0,624100000.0,570000000.0,589100000.0,516000000.0,0.0,298500000.0,277000000.0,300100000.0
Operating Income,-31800000.0,52000000.0,49800000.0,121000000.0,-10200000.0,44000000.0,1000000.0,74000000.0,0.0,22100000.0,44000000.0,29300000.0
Interest Expense,18700000.0,19000000.0,16800000.0,17000000.0,32400000.0,32000000.0,21000000.0,21000000.0,0.0,19700000.0,20000000.0,18800000.0
Earnings before Tax,-68600000.0,-69000000.0,33700000.0,34000000.0,-31300000.0,-31000000.0,-30200000.0,-30000000.0,0.0,1100000.0,1000000.0,9800000.0
Income Tax Expense,6200000.0,-20000000.0,15700000.0,-1000000.0,13400000.0,-11000000.0,7700000.0,-23000000.0,0.0,10300000.0,-9000000.0,8400000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Net Income,-49700000.0,-50000000.0,-217300000.0,-217000000.0,-20700000.0,-21000000.0,-7300000.0,-7000000.0,0.0,6200000.0,6000000.0,49800000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Net Income Com,-49700000.0,-50000000.0,-217300000.0,-217000000.0,-20700000.0,-21000000.0,-7300000.0,-7000000.0,0.0,6200000.0,6000000.0,49800000.0
EPS,-0.41,-0.41,-1.79,-1.79,-0.18,-0.18,-0.08,-0.08,0.0,0.12,0.12,0.93
EPS Diluted,-0.41,-0.41,-1.73,-1.79,-0.18,-0.18,-0.08,-0.08,0.0,0.11,0.11,0.89
Weighted Average Shs Out,120700000.0,121000000.0,121500000.0,122000000.0,113700000.0,114000000.0,95600000.0,96000000.0,0.0,53700000.0,54000000.0,53500000.0
Weighted Average Shs Out (Dil),120700000.0,121000000.0,125500000.0,126000000.0,113700000.0,114000000.0,95600000.0,96000000.0,0.0,56200000.0,56000000.0,56000000.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Gross Margin,0.546596166557,0.54674220963173,0.53867962738,0.53846153846154,0.530275546342,0.53022452504318,0.534510869565,0.53442028985507,0.0,0.555728895822,0.55632582322357,0.538411245505
EBITDA Margin,0.0596733075253,0.024551463644948,0.15451599838,0.15283400809717,0.0850824911462,0.086355785837651,0.0696557971014,0.060688405797101,0.0,0.100364014561,0.098786828422877,0.10248447205
EBIT Margin,-0.0300254933434,-0.048158640226629,0.05042527339,-0.20344129554656,-0.00881057268722,0,0.000905797101449,-0.0081521739130435,0.0,0.0383081989946,0.02946273830156,0.0478914677999
Profit Margin,-0.0469266358229,-0.047214353163362,-0.220028351559,-0.21963562753036,-0.0178802798653,-0.018134715025907,-0.00661231884058,-0.0063405797101449,0.0,0.0107470965505,0.010398613518198,0.081399150049
Free Cash Flow margin,0.0346520630724,,0.100951802349,,0.0471624773257,,0.0656702898551,,0.0,0.0762697174554,,0.0572082379863
EBITDA,63200000.0,26000000.0,152600000.0,151000000.0,98500000.0,100000000.0,76900000.0,67000000.0,0.0,57900000.0,57000000.0,62700000.0
EBIT,-31800000.0,-51000000,49800000.0,-201000000,-10200000.0,0,1000000.0,-9000000,0.0,22100000.0,17000000,29300000.0
Consolidated Income,-49700000.0,-50000000.0,-217300000.0,-217000000.0,-20700000.0,-21000000.0,-7300000.0,-7000000.0,0.0,6200000.0,6000000.0,49800000.0
Earnings Before Tax Margin,-0.0647719762062,-0.065155807365439,0.034123126772,0.034412955465587,-0.0270363652069,-0.026770293609672,-0.0273550724638,-0.027173913043478,0.0,0.00190674293638,0.0017331022530329,0.0160183066362
Net Profit Margin,-0.0469266358229,-0.047214353163362,-0.220028351559,-0.21963562753036,-0.0178802798653,-0.018134715025907,-0.00661231884058,-0.0063405797101449,0.0,0.0107470965505,0.010398613518198,0.081399150049
