Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Revenue,205266000.0,139017000.0,139000000.0,171993000.0,172000000.0,297987000.0,298000000.0,237931000.0,238000000.0,148139000.0,148000000.0,114606000.0
Revenue Growth,0.476553227303136,0.000122302158273381,-0.191827574378027,-0.0000406976744186046,-0.422793611801857,-0.0000436241610738255,0.252463949632456,-0.000289915966386555,0.606599207501063,0.000939189189189189,0.291380905013699,0.0
Cost of Revenue,0.0,0.0,105000000.0,0.0,119000000.0,0.0,110000000.0,126241000.0,91000000.0,85199000.0,61000000.0,0.0
Gross Profit,0.0,0.0,34000000.0,0.0,53000000.0,0.0,188000000.0,111690000.0,147000000.0,62940000.0,87000000.0,0.0
R&D Expenses,527000.0,2178000.0,,3011000.0,,9446000.0,,11408000.0,,4782000.0,,2507000.0
SG&A Expense,17858000.0,20621000.0,21000000.0,29435000.0,29000000.0,36137000.0,36000000.0,33126000.0,33000000.0,23345000.0,23000000.0,23636000.0
Operating Expenses,218773000.0,271624000.0,,607082000.0,,373728000.0,,222257000.0,,151221000.0,,105322000.0
Operating Income,-13507000.0,-132607000.0,,-435089000.0,,-75741000.0,,15674000.0,,-3082000.0,,9284000.0
Interest Expense,48826000.0,43519000.0,44000000.0,47806000.0,48000000.0,36977000.0,37000000.0,22782000.0,23000000.0,6443000.0,6000000.0,2019000.0
Earnings before Tax,-66970000.0,-195201000.0,,-423245000.0,,-74565000.0,,-4126000.0,,95790000.0,,26351000.0
Income Tax Expense,-2728000.0,2436000.0,2000000.0,-24227000.0,-24000000.0,-26915000.0,-27000000.0,-3785000.0,-4000000.0,38549000.0,39000000.0,8270000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,-64242000.0,-176715000.0,-177000000.0,-363278000.0,-363000000.0,-46689000.0,-47000000.0,-2130000.0,-2000000.0,45479000.0,45000000.0,-15369000.0
Preferred Dividends,2392000.0,5091000.0,,9660000.0,,2335000.0,,0.0,,0.0,,0.0
Net Income Com,-64242000.0,-176715000.0,-177000000.0,-363278000.0,-363000000.0,-46689000.0,-47000000.0,-2130000.0,-2000000.0,45479000.0,45000000.0,-15369000.0
EPS,-6.73,-1.37,-13.70,-6.85,-68.50,-0.92,-9.20,-0.04,-0.40,0.88,8.80,-0.35
EPS Diluted,-6.73,-1.37,-13.70,-6.85,-68.50,-0.92,-9.20,-0.04,-0.40,0.87,8.70,-0.35
Weighted Average Shs Out,9902000.0,79256000.0,8000000.0,54392000.0,5000000.0,53150000.0,5000000.0,52572000.0,5000000.0,51543000.0,5000000.0,43930000.0
Weighted Average Shs Out (Dil),9902000.0,79256000.0,8000000.0,54392000.0,5000000.0,53150000.0,5000000.0,52572000.0,5000000.0,52025000.0,5000000.0,44476000.0
Dividend per Share,0.0,0.0,,0.177599647007,,0.0439322671684,,0.0,,0.0,,0.0
Gross Margin,0.0,0.0,0.24460431654676,0.0,0.30813953488372,0.0,0.63087248322148,0.469421807163,0.61764705882353,0.424871235799,0.58783783783784,0.0
EBITDA Margin,0.22749213216,-0.464921556356,-0.60431654676259,-1.92023512585,-1.5755813953488,0.0752717400424,0.20469798657718,0.334626425308,0.34873949579832,0.292691323689,1.0067567567568,0.0810079751496
EBIT Margin,-0.0658024222229,-0.953890531374,-0.94244604316547,-2.52969016181,-1.9709302325581,-0.254175517724,-0.1241610738255,0.0658762414313,0.071428571428571,-0.0208047846955,0.60810810810811,0.0810079751496
Profit Margin,-0.31296951273,-1.27117546775,-1.273381294964,-2.11216735565,-2.1104651162791,-0.156681331736,-0.15771812080537,-0.00895217521046,-0.0084033613445378,0.307002207386,0.30405405405405,-0.134102926548
Free Cash Flow margin,0.18750304483,-0.0316795787566,,0.129569226655,,0.506753650327,,-0.901404188609,,-1.24636321293,,0.562858838106
EBITDA,46696400.0,-64632000.0,-84000000.0,-330267000.0,-271000000.0,22430000.0,61000000.0,79618000.0,83000000.0,43359000.0,149000000.0,9284000.0
EBIT,-13507000.0,-132607000.0,-131000000,-435089000.0,-339000000,-75741000.0,-37000000,15674000.0,17000000,-3082000.0,90000000,9284000.0
Consolidated Income,-64242000.0,-176715000.0,-177000000.0,-363278000.0,-363000000.0,-46689000.0,-47000000.0,-2130000.0,-2000000.0,45479000.0,45000000.0,-15369000.0
Earnings Before Tax Margin,-0.326259585124,-1.40415201019,0,-2.46082689412,0,-0.250229036837,0,-0.0173411619335,0,0.646622428935,0,0.229926879919
Net Profit Margin,-0.31296951273,-1.27117546775,-1.273381294964,-2.11216735565,-2.1104651162791,-0.156681331736,-0.15771812080537,-0.00895217521046,-0.0084033613445378,0.307002207386,0.30405405405405,-0.134102926548
