Date,2018-12-31,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,0.0,,292604000.0,,307200000.0,,282134000.0,250080000.0,231257000.0,198092000.0,219493000.0,265376000.0,288980000.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.128174984005118,0.0813942929295113,0.167422207863013,-0.0975019704500827,-0.172898076691185,-0.0816803931067894,0.0611
Cost of Revenue,0.0,,260242000.0,,270779000.0,,257830000.0,219608000.0,206932000.0,175095000.0,196508000.0,237672000.0,239879000.0
Gross Profit,0.0,16209000.0,32362000.0,27704000.0,36421000.0,49101000.0,24304000.0,30472000.0,24325000.0,22997000.0,22985000.0,24325000.0,22997000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
SG&A Expense,0.0,,32584000.0,,33196000.0,,34427000.0,31397000.0,28828000.0,29645000.0,44110000.0,43281000.0,43196000.0
Operating Expenses,0.0,42830000.0,32584000.0,46116000.0,33196000.0,49633000.0,34427000.0,31397000.0,28828000.0,29645000.0,44110000.0,28922000.0,33711000.0
Operating Income,0.0,-26621000.0,-742000.0,-18412000.0,2861000.0,-532000.0,-14013000.0,-4890000.0,-4597000.0,-10714000.0,-26621000.0,-4597000.0,-10714000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,0.0,,-1712000.0,,1113000.0,,-15152000.0,-4896000.0,-15452000.0,-10372000.0,-26588000.0,-18139000.0,3898000.0
Income Tax Expense,0.0,,-436000.0,,718000.0,,464000.0,564000.0,230000.0,116000.0,-126000.0,1244000.0,-751000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,-4640000.0,
Net Income,0.0,,-1276000.0,,395000.0,,-15616000.0,-5460000.0,-6406000.0,-10488000.0,-26462000.0,4649000.0,
Preferred Dividends,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
Net Income Com,0.0,,-1276000.0,,395000.0,,-15616000.0,-5460000.0,-6406000.0,-10488000.0,-26462000.0,-19383000.0,4649000.0
EPS,0.0,,-0.08,,0.03,,-1.01,-0.35,-0.42,-0.69,-1.75,0.31,
EPS Diluted,0.0,,-0.08,,0.02,,-1.01,-0.35,-0.42,-0.69,-1.75,0.31,
Weighted Average Shs Out,0.0,,15966000.0,,15731000.0,,15529000.0,15394000.0,15339000.0,15241000.0,15084000.0,15107515.0,14868875.0
Weighted Average Shs Out (Dil),0.0,,15966000.0,,16258000.0,,15529000.0,15394000.0,15339000.0,15241000.0,15084000.0,14792000.0,
Dividend per Share,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
Gross Margin,0.0,,0.110599991798,,0.118557942708,,0.0861434637442,0.121849008317,0.10518600518,0.116092522666,0.104718601504,0.1044,0.1699
EBITDA Margin,0.0,,0.0353310276004,,0.049189453125,,-0.00266540012902,0.0219489763276,0.0342908538985,0.0113230216263,-0.0495277753732,0.069,
EBIT Margin,0.0,,-0.00253585050102,,0.00931315104167,,-0.0496678883084,-0.0195537428023,-0.0198783171969,-0.0540859802516,-0.121284050061,-0.0684,0.0135
Profit Margin,0.0,,-0.00436084264057,,0.00128580729167,,-0.0553495856579,-0.0218330134357,-0.0277007831114,-0.0529450962179,-0.120559653383,0.016,
Free Cash Flow margin,0.0,,0.0285129389892,,0.0232421875,,-0.0438018813755,-0.0291146833013,-0.011247227111,-0.0221816125841,-0.0465891850765,0.0034,
EBITDA,0.0,,10338000.0,,15111000.0,,-752000.0,5489000.0,7930000.0,2243000.0,-10871000.0,19875000.0,
EBIT,0.0,-26588000.0,-742000.0,-18139000.0,2861000.0,3898000.0,-14013000.0,-4890000.0,-4597000.0,-10714000.0,-26621000.0,-6176000.0,-10372000.0
Consolidated Income,0.0,,-1276000.0,,395000.0,,-15616000.0,-5460000.0,-6406000.0,-10488000.0,-26462000.0,4649000.0,
Earnings Before Tax Margin,0.0,,-0.00585091112903,,0.003623046875,,-0.0537049770676,-0.0195777351248,-0.0668174368776,-0.0523595097228,-0.121133703581,-0.0684,0.0135
Net Profit Margin,0.0,,-0.00436084264057,,0.00128580729167,,-0.0553495856579,-0.0218330134357,-0.0277007831114,-0.0529450962179,-0.120559653383,0.0161,
