Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,1995-12,1994-12,1993-12,1992-12,1991-12
Revenue,1220300000.0,1082900000.0,924728000.0,752599000.0,595003000.0,422271000.0,324067000.0,0.0,53000000.0,32000000.0,19000000.0,7000000.0,5000000.0
Revenue Growth,0.126881521839505,0.171047053836371,0.228712767356853,0.26486589143248,0.409054848663536,0.303036100559452,0.0,-1,0.65625,0.684210526315789,1.71428571428571,0.4,
Cost of Revenue,578500000.0,533500000.0,366559000.0,302539000.0,238672000.0,166886000.0,122795000.0,0.0,15000000.0,10000000.0,3000000.0,16000000.0,9000000.0
Gross Profit,641800000.0,549400000.0,558169000.0,450060000.0,356331000.0,255385000.0,201272000.0,0.0,38000000.0,22000000.0,16000000.0,-9000000.0,-4000000.0
R&D Expenses,173600000.0,134500000.0,94254000.0,69461000.0,57639000.0,33792000.0,23343000.0,0.0,,,,,
SG&A Expense,397600000.0,388300000.0,374478000.0,314880000.0,249264000.0,161325000.0,128486000.0,0.0,62000000.0,43000000.0,34000000.0,10000000.0,3000000.0
Operating Expenses,571200000.0,522800000.0,928784000.0,751644000.0,589150000.0,387644000.0,291334000.0,0.0,67000000.0,47000000.0,37000000.0,11000000.0,4000000.0
Operating Income,70600000.0,26600000.0,-4056000.0,955000.0,5853000.0,34627000.0,32733000.0,0.0,-29000000.0,-25000000.0,-21000000.0,-20000000.0,-8000000.0
Interest Expense,6000000.0,5900000.0,5796000.0,4695000.0,3905000.0,0.0,314000.0,0.0,,,,,
Earnings before Tax,63900000.0,21000000.0,18886000.0,-3864000.0,0.0,0.0,0.0,0.0,,,,,
Income Tax Expense,10800000.0,0.0,4859000.0,-745000.0,-363000.0,16146000.0,13834000.0,0.0,,,,,
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income,53100000.0,21000000.0,14027000.0,-3119000.0,2594000.0,18732000.0,19046000.0,0.0,-30000000.0,-24000000.0,-21000000.0,-17000000.0,-7000000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income Com,53100000.0,21000000.0,14027000.0,-3119000.0,2594000.0,18732000.0,19046000.0,0.0,-30000000.0,-24000000.0,-21000000.0,-17000000.0,-7000000.0
EPS,1.33,0.53,0.36,-0.08,0.07,0.52,0.54,0.0,-1.21,-1.17,-1.20,-1.12,-0.61
EPS Diluted,1.31,0.52,0.35,-0.08,0.07,0.5,0.53,0.0,-1.21,-1.17,-1.20,-1.12,-0.61
Weighted Average Shs Out,39900000.0,39300000.0,38611000.0,37862000.0,36856000.0,35956.0,35046000.0,0.0,25000000.0,21000000.0,17000000.0,15000000.0,11000000.0
Weighted Average Shs Out (Dil),40700000.0,40100000.0,39625000.0,37862000.0,38257000.0,37133.0,36050000.0,0.0,25000000.0,21000000.0,17000000.0,15000000.0,11000000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gross Margin,0.525936245186,0.507341398098,0.603603437984,0.59800770397,0.598872610726,0.604789341442,0.621081443035,0.0,0.71698113207547,0.6875,0.84210526315789,-1.2857142857143,-0.8
EBITDA Margin,0.178562648529,0.15633945886,0.12324272651,0.125911674079,0.113932198661,0.154026679549,0.16460176445,0.0,-0.45283018867925,-0.65625,-0.94736842105263,-2.7142857142857,-1.4
EBIT Margin,0.0578546259117,0.0245636716225,-0.00438615463142,0.00126893604695,0.00983692519197,0.0820018424187,0.10100689055,0.0,-0.56603773584906,-0.75,-1.1052631578947,-2.4285714285714,-1.4
Profit Margin,0.043513890027,0.0193923723335,0.015168784767,-0.00414430526748,0.00435964188416,0.0443601383945,0.0587717971901,0.0,-0.56603773584906,-0.75,-1.1052631578947,-2.4285714285714,-1.4
Free Cash Flow margin,0.131934770138,0.104903499861,0.0828676108001,0.0970144791582,0.0925171805856,0.109666541155,0.135984225484,0.0,,,,,
EBITDA,217900000.0,169300000.0,113966000.0,94761000.0,67790000.0,65041000.0,53342000.0,0.0,-24000000.0,-21000000.0,-18000000.0,-19000000.0,-7000000.0
EBIT,70600000.0,26600000.0,-4056000.0,955000.0,5853000.0,34627000.0,32733000.0,0.0,-30000000,-24000000,-21000000,-17000000,-7000000
Consolidated Income,53100000.0,21000000.0,14027000.0,-3119000.0,2594000.0,18732000.0,19046000.0,0.0,-30000000.0,-24000000.0,-21000000.0,-17000000.0,-7000000.0
Earnings Before Tax Margin,0.0523641727444,0.0193923723335,0.0204233028523,-0.00513420825699,0.0,0.0,0.0,0.0,0,0,0,0,0
Net Profit Margin,0.043513890027,0.0193923723335,0.015168784767,-0.00414430526748,0.00435964188416,0.0443601383945,0.0587717971901,0.0,-0.56603773584906,-0.75,-1.1052631578947,-2.4285714285714,-1.4
