Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,1995-12,1994-12,1993-12,1992-12,1991-12
Depreciation & Amortization,147300000.0,142700000.0,118022000.0,93806000.0,61937000.0,30414000.0,20609000.0,0.0,6000000.0,4000000.0,3000000.0,1000000.0,1000000.0
Stock-based compensation,54300000.0,66500000.0,64134000.0,55558000.0,42648000.0,27236000.0,18901000.0,0.0,,,,,
Operating Cash Flow,241100000.0,182600000.0,163844000.0,149105000.0,93308000.0,70213000.0,60764000.0,0.0,-27000000.0,-15000000.0,-17000000.0,-14000000.0,-6000000.0
Capital Expenditure,80100000.0,69000000.0,87214000.0,76092000.0,38260000.0,23904000.0,16696000.0,0.0,-2000000.0,-2000000.0,-2000000.0,-2000000.0,-1000000.0
Acquisitions and disposals,-41100000.0,-16900000.0,-39890000.0,-0.0,-410161000.0,-5798000.0,-34882000.0,-0.0,,,,,
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000000,13000000,7000000,-9000000,-38000000
Investing Cash flow,-204000000.0,-174900000.0,-199069000.0,-127319000.0,-424982000.0,-86000.0,-53357000.0,0.0,20000000.0,2000000.0,-13000000.0,-12000000.0,-38000000.0
Issuance (repayment) of debt,-18800000.0,-0.0,-987000.0,-0.0,-1699000.0,-0.0,-741000.0,-0.0,,,,,
Issuance (buybacks) of shares,-165100000.0,-147400000.0,-141927000.0,-73787000.0,-65002000.0,-154988000.0,-57781000.0,0.0,,,,,
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,
Financing Cash Flow,-20100000.0,-2000000.0,103790000.0,-12778000.0,241688000.0,27080000.0,14430000.0,0.0,40000000.0,1000000.0,44000000.0,0000000.0,66000000.0
Effect of forex changes on cash,700000.0,-200000.0,-425000.0,-223000.0,-40000.0,30000.0,-110000.0,0.0,,,,,
Net cash flow / Change in cash,17700000.0,5500000.0,68140000.0,8785000.0,-89986000.0,97207000.0,21837000.0,0.0,32000000.0,-13000000.0,14000000.0,-26000000.0,23000000.0
Free Cash Flow,161000000.0,113600000.0,76630000.0,73013000.0,55048000.0,46309000.0,44068000.0,0.0,-29000000.0,-18000000.0,-19000000.0,-17000000.0,-6000000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
