Date,2018-12-31,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,0.0,,,,,
Stock-based compensation,0.0,,,,,
Operating Cash Flow,-1218016.0,-1000000.0,000000.0,000000.0,000000.0,000000.0
Capital Expenditure,0.0,,,,,
Acquisitions and disposals,0.0,,,,,
Investment purchases and sales,-301000000.0,0,0,0,0,0
Investing Cash flow,-301000000.0,-301000000.0,000000.0,000000.0,000000.0,000000.0
Issuance (repayment) of debt,3907156.0,-0000000.0,000000.0,000000.0,000000.0,000000.0
Issuance (buybacks) of shares,300000000.0,,,,,
Dividend payments,0.0,,,,,
Financing Cash Flow,305107483.0,305000000.0,000000.0,000000.0,000000.0,000000.0
Effect of forex changes on cash,0.0,,,,,
Net cash flow / Change in cash,2889467.0,3000000.0,000000.0,000000.0,000000.0,000000.0
Free Cash Flow,-1218016.0,-1000000.0,000000.0,000000.0,000000.0,000000.0
Net Cash/Marketcap,-0.0003,,,,,
