Date,2017-06,2016-06,2015-06,2014-06,2013-06,2012-06-30
Depreciation & Amortization,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,15000.0
Stock-based compensation,0000000.0,0000000.0,0000000.0,0000000.0,000000.0,157000.0
Operating Cash Flow,,,,,,6893000.0
Capital Expenditure,,,,,,434000.0
Acquisitions and disposals,,,,,,-0.0
Investment purchases and sales,-39000000,-58000000,-73000000,-61000000,-140000000,29765000.0
Investing Cash flow,-17000000.0,6000000.0,1000000.0,-12000000.0,-38000000.0,11567000.0
Issuance (repayment) of debt,,,,,,-0.0
Issuance (buybacks) of shares,,,,,,-37000.0
Dividend payments,,,,,,-1357000.0
Financing Cash Flow,10000000.0,-2000000.0,-14000000.0,14000000.0,18000000.0,-19324000.0
Effect of forex changes on cash,,,,,,0.0
Net cash flow / Change in cash,-2000000.0,10000000.0,-6000000.0,8000000.0,-12000000.0,-864000.0
Free Cash Flow,,,,,,6459000.0
Net Cash/Marketcap,,,,,,0.0
