Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-08-07
Depreciation & Amortization,24708000.0,1246000.0,16992000.0,7596000.0,3308000.0,150000.0,150000.0
Stock-based compensation,5273000.0,4815000.0,4815000.0,2647000.0,3301000.0,5733000.0,5733000.0
Operating Cash Flow,95428000.0,7566000.0,75130000.0,153860000.0,194196000.0,105051000.0,105051000.0
Capital Expenditure,2281000.0,385000.0,1621000.0,1174000.0,6929000.0,-10884000.0,-10884000.0
Acquisitions and disposals,-0.0,-140919000.0,-110319000.0,-6000000.0,-0.0,0.0,0.0
Investment purchases and sales,-220667000.0,-61623000.0,-25562000.0,0.0,0.0,-125610000.0,-125610000.0
Investing Cash flow,24365000.0,-7242000.0,-249416000.0,-86964000.0,-200047000.0,-136494000.0,-136494000.0
Issuance (repayment) of debt,-79500000.0,-25189000.0,-0.0,-0.0,-0.0,-1000000.0,-1000000.0
Issuance (buybacks) of shares,-2000000.0,-61623000.0,-25562000.0,-236277000.0,-160393000.0,33630000.0,33630000.0
Dividend payments,-6380000.0,-8249000.0,-6806000.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,-31953000.0,47556000.0,43826000.0,8900000.0,101273000.0,32630000.0,32630000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,250117000.0,47880000.0,-130460000.0,75796000.0,95422000.0,1187000.0,1187000.0
Free Cash Flow,93147000.0,7181000.0,73509000.0,152686000.0,187267000.0,94167000.0,94167000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.1305,0.1305
