Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,48950000.0,132031000.0,0.0,79264000.0,97059000.0,112813000.0
Short-term investments,0.0,0.0,0.0,0.0,,
Cash and short-term investments,48950000.0,132031000.0,0.0,79264000.0,,
Receivables,264382000.0,199876000.0,0.0,110970000.0,130615000.0,128200000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,313332000.0,331907000.0,0.0,190000000.0,,
Property Plant & Equipment Net,9000000.0,0.0,0.0,4428699000.0,4549555000.0,4125719000.0
Goodwill and Intangible Assets,236665000.0,236665000.0,0.0,0.0,0.0,0.0
Long-term investments,2250159000.0,2078936000.0,1663879000.0,2000000.0,,
Tax assets,65439000.0,200139000.0,0.0,0.0,0.0,0.0
Total non-current assets,9956681000.0,9245718000.0,1664030000.0,,,
Total assets,10270013000.0,9577625000.0,1664030000.0,4658997000.0,4905195000.0,4511127000.0
Payables,99885000.0,109999000.0,797000.0,93434000.0,218721000.0,169752000.0
Short-term debt,0.0,0.0,0.0,257000.0,,
Total current liabilities,110705000.0,119690000.0,797000.0,94000000.0,,
Long-term debt,7520396000.0,6876468000.0,0.0,3167000000.0,,
Total debt,7520396000.0,6876468000.0,0.0,3167160000.0,3389463000.0,2980400000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,10820000.0,9691000.0,0.0,20570000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,7802525000.0,7091907000.0,0.0,,,
Total liabilities,8066317000.0,7501341000.0,797000.0,3281164000.0,3608184000.0,3150152000.0
Other comprehensive income,838697000,889168000,690418000,-3666000.0,-3258000.0,-2599000.0
Retained earnings (deficit),1349627000.0,1159367000.0,945313000.0,1044402000.0,933313000.0,998846000.0
Total shareholders equity,2203696000.0,2076284000.0,1663233000.0,1217329000.0,1106160000.0,1153599000.0
Investments,2250159000.0,2078936000.0,1663879000.0,2153000.0,69812000.0,79283000.0
Net Debt,7471446000.0,6744437000.0,0.0,,,
Other Assets,0.0,0.0,0.0,,,
Other Liabilities,153087000.0,289744000.0,0.0,309000.0,,
