Date,2018-03-31,2017-03-31,2016-03-31,2014-03-31,2013-03-31,2012-03-31,1997-10,1996-10,1995-10,1994-10,1993-10
Revenue,187962056.0,162179249.0,133101689.0,0.0,0.0,141558169.0,,,,,
Revenue Growth,0.158977225255248,0.218461239811916,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,167800629.0,143910434.0,118200363.0,0.0,0.0,124459788.0,,,,,
Gross Profit,20161427.0,18268815.0,14901326.0,0.0,0.0,17098381.0,,,,,
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
SG&A Expense,18700819.0,18299827.0,17275314.0,0.0,0.0,15890719.0,,,,,
Operating Expenses,18700819.0,18299827.0,19102066.0,0.0,0.0,16118290.0,,,,,
Operating Income,1538816.0,107535.0,-4200740.0,0.0,0.0,980091.0,,,,,
Interest Expense,551226.0,306124.0,160874.0,0.0,0.0,261413.0,,,,,
Earnings before Tax,474299.0,-2380589.0,-4296323.0,0.0,0.0,555760.0,,,,,
Income Tax Expense,1906000.0,-56000.0,-1640000.0,0.0,0.0,415000.0,,,,,
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income,-1431701.0,-2324589.0,-2656323.0,0.0,0.0,140760.0,245000000.0,212000000.0,183000000.0,91000000.0,68000000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income Com,-1431701.0,-2324589.0,-2656323.0,0.0,0.0,140760.0,245000000.0,212000000.0,183000000.0,91000000.0,68000000.0
EPS,-0.14,-0.24,-0.27,0.0,0.0,0.01,6.46,5.75,4.86,2.41,2.60
EPS Diluted,-0.14,-0.24,-0.27,0.0,0.0,0.01,6.46,5.75,4.86,2.41,2.60
Weighted Average Shs Out,9949652.0,9824763.0,9771578.0,0.0,0.0,10703881.0,38000000.0,37000000.0,38000000.0,38000000.0,26000000.0
Weighted Average Shs Out (Dil),9949652.0,9824763.0,9771578.0,0.0,0.0,10798741.0,38000000.0,37000000.0,38000000.0,38000000.0,26000000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gross Margin,0.107263281904,0.112645823141,0.111954447099,0.0,0.0,0.12078696073,,,,,
EBITDA Margin,0.00934374754871,0.00349073635185,-0.0272251616582,0.0,0.0,0.0127464561936,,,,,
EBIT Margin,0.00818684383831,0.000663062633864,-0.0315603808754,0.0,0.0,0.00692359195463,,,,,
Profit Margin,-0.00761696818213,-0.0143334552005,-0.0199570946091,0.0,0.0,0.000994361547584,,,,,
Free Cash Flow margin,-0.0358636692078,-0.0362519066789,-0.0100308268815,0.0,0.0,0.0400399570017,,,,,
EBITDA,1756270.0,566125.0,-3623715.0,0.0,0.0,1804365.0,,,,,
EBIT,1538816.0,107535.0,-4200740.0,0.0,0.0,980091.0,245000000,212000000,183000000,91000000,68000000
Consolidated Income,-1431701.0,-2324589.0,-2656323.0,0.0,0.0,140760.0,245000000.0,212000000.0,183000000.0,91000000.0,68000000.0
Earnings Before Tax Margin,0.00252337631378,-0.0146787521503,-0.0322785009888,0.0,0.0,0.00392601856838,,,,,
Net Profit Margin,-0.00761696818213,-0.0143334552005,-0.0199570946091,0.0,0.0,0.000994361547584,,,,,
