Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Revenue,1325000000.0,1531000000.0,1543000000.0,1798000000.0,2102000000.0,0.0,4114000000.0,6022000000.0,7187000000.0
Revenue Growth,-0.134552580013063,-0.00777705767984446,-0.14182424916574,-0.144624167459562,0.0,-1,-0.316838259714381,-0.162098232920551,0.0
Cost of Revenue,1144000000.0,1176000000.0,1160000000.0,1417000000.0,1646000000.0,0.0,3523000000.0,5135000000.0,5236000000.0
Gross Profit,181000000.0,355000000.0,383000000.0,381000000.0,456000000.0,0.0,591000000.0,887000000.0,1951000000.0
R&D Expenses,48000000.0,53000000.0,40000000.0,61000000.0,94000000.0,0.0,207000000.0,274000000.0,321000000.0
SG&A Expense,225000000.0,205000000.0,172000000.0,226000000.0,310000000.0,0.0,824000000.0,1159000000.0,1277000000.0
Operating Expenses,273000000.0,258000000.0,212000000.0,287000000.0,404000000.0,0.0,1031000000.0,1433000000.0,1598000000.0
Operating Income,-118000000.0,-18000000.0,140000000.0,54000000.0,-16000000.0,0.0,-573000000.0,-600000000.0,-336000000.0
Interest Expense,9000000.0,32000000.0,60000000.0,63000000.0,62000000.0,0.0,158000000.0,156000000.0,149000000.0
Earnings before Tax,-9000000.0,96000000.0,78000000.0,-35000000.0,-112000000.0,0.0,-1303000000.0,-767000000.0,-675000000.0
Income Tax Expense,-4000000.0,-110000000.0,32000000.0,32000000.0,10000000.0,0.0,-257000000.0,9000000.0,114000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-16000000.0,94000000.0,15000000.0,-80000000.0,-123000000.0,0.0,-1379000000.0,-764000000.0,-687000000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-16000000.0,94000000.0,15000000.0,-80000000.0,-123000000.0,0.0,-1379000000.0,-764000000.0,-687000000.0
EPS,-0.84,1.76,0.28,-1.91,-2.95,0.0,-5.07,-2.84,-2.56
EPS Diluted,-0.84,1.76,0.28,-1.91,-2.95,0.0,-5.07,-2.84,-2.56
Weighted Average Shs Out,42700000.0,42500000.0,42200000.0,41900000.0,41700000.0,0.0,271800000.0,269.1,0.0
Weighted Average Shs Out (Dil),42700000.0,42700000.0,42500000.0,41900000.0,41700000.0,0.0,271800000.0,269.1,0.0
Dividend per Share,0.187353629977,0.234192037471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.136603773585,0.23187459177,0.248217757615,0.211902113459,0.216936251189,0.0,0.143655809431,0.147293258054,0.271462362599
EBITDA Margin,-0.0339622641509,0.0404964075767,0.158781594297,0.110678531702,0.0870599429115,0.0,-0.0804569761789,-0.0508136831617,0.00584388479199
EBIT Margin,-0.0890566037736,-0.0117570215545,0.0907323395982,0.0300333704116,-0.00761179828735,0.0,-0.139280505591,-0.0996346728662,-0.0467510783359
Profit Margin,-0.0120754716981,0.0613977792293,0.00972132209981,-0.0444938820912,-0.058515699334,0.0,-0.335196888673,-0.126868150116,-0.0955892583832
Free Cash Flow margin,-0.0716981132075,-0.0685826257348,-0.0349967595593,-0.0767519466073,-0.081351094196,0.0,-0.0804569761789,-0.186981069412,-0.0512035619869
EBITDA,-45000000.0,62000000.0,245000000.0,199000000.0,183000000.0,0.0,-331000000.0,-306000000.0,42000000.0
EBIT,-118000000.0,-18000000.0,140000000.0,54000000.0,-16000000.0,0.0,-573000000.0,-600000000.0,-336000000.0
Consolidated Income,-16000000.0,94000000.0,15000000.0,-80000000.0,-123000000.0,0.0,-1379000000.0,-764000000.0,-687000000.0
Earnings Before Tax Margin,-0.00679245283019,0.0627041149575,0.050550874919,-0.0194660734149,-0.0532825880114,0.0,-0.316723383568,-0.127366323481,-0.0939195770141
Net Profit Margin,-0.0120754716981,0.0613977792293,0.00972132209981,-0.0444938820912,-0.058515699334,0.0,-0.335196888673,-0.126868150116,-0.0955892583832
