Date,2017-08-27,2017-08,2016-08-28,2016-08,2015-08-30,2015-08,2014-08-31,2014-08,2013-08-25,2013-08,2012-08-26
Depreciation & Amortization,1807504.0,2000000.0,1836404.0,2000000.0,1990523.0,2000000.0,2227957.0,2000000.0,1865968.0,2000000.0,1459617.0
Stock-based compensation,301726.0,0000000.0,165013.0,0000000.0,235208.0,0000000.0,241662.0,0000000.0,247392.0,0000000.0,198009.0
Operating Cash Flow,3129249.0,3000000.0,2977931.0,3000000.0,3240710.0,3000000.0,3925918.0,4000000.0,2020788.0,2000000.0,2187716.0
Capital Expenditure,806345.0,-1000000.0,392311.0,-0000000.0,192009.0,-0000000.0,228747.0,-0000000.0,4220979.0,-4000000.0,582304.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Investing Cash flow,-806345.0,-1000000.0,-377311.0,-0000000.0,-192009.0,-0000000.0,-228747.0,-0000000.0,-4214878.0,-4000000.0,-573304.0
Issuance (repayment) of debt,-5125959.0,-5000000.0,-1527381.0,-2000000.0,-1691560.0,-2000000.0,-1920021.0,-2000000.0,-20053.0,-2000000.0,-1198832.0
Issuance (buybacks) of shares,-5846933.0,,-3739324.0,,-4141125.0,,-3219596.0,,-1884658.0,,-2911961.0
Dividend payments,-0.0,,-233560.0,,-465337.0,,-463772.0,,-461841.0,,-456081.0
Financing Cash Flow,-215295.0,-0000000.0,-3010941.0,-3000000.0,-2132492.0,-2000000.0,-2369953.0,-2000000.0,1188347.0,1000000.0,-1622529.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net cash flow / Change in cash,2107609.0,2000000.0,-410321.0,-0000000.0,916209.0,1000000.0,1327218.0,1000000.0,-1005743.0,-1000000.0,-8117.0
Free Cash Flow,2322904.0,2000000.0,2585620.0,3000000.0,3048701.0,3000000.0,3697171.0,4000000.0,-2200191.0,-2000000.0,1605412.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
