Date,2011-12-31
Revenue,19344000.0
Revenue Growth,0.0
Cost of Revenue,28309000.0
Gross Profit,-8965000.0
R&D Expenses,32691000.0
SG&A Expense,27639000.0
Operating Expenses,60330000.0
Operating Income,-69295000.0
Interest Expense,2732000.0
Earnings before Tax,0.0
Income Tax Expense,0.0
Net Income - Non-Controlling int,0.0
Net Income - Discontinued ops,0.0
Net Income,-72348000.0
Preferred Dividends,0.0
Net Income Com,-72348000.0
EPS,-2.4
EPS Diluted,-2.4
Weighted Average Shs Out,30179126.0
Weighted Average Shs Out (Dil),30179126.0
Dividend per Share,0.0
Gross Margin,-0.463451199338
EBITDA Margin,-2.97663358147
EBIT Margin,-3.58224772539
Profit Margin,-3.74007444169
Free Cash Flow margin,-3.66552936311
EBITDA,-57580000.0
EBIT,-69295000.0
Consolidated Income,-72348000.0
Earnings Before Tax Margin,0.0
Net Profit Margin,-3.74007444169
