Date,2018-09-30,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09,2013-09
Revenue,1602202000.0,1474510000.0,1475000000.0,1407587000.0,1408000000.0,1366946000.0,1367000000.0,1256000000.0,1199000000.0
Revenue Growth,0.0865996161436681,-0.000332203389830508,0.0478925991785943,-0.000293323863636364,0.030033373666553,-0.0000395025603511339,0.0883757961783439,0.0475396163469558,
Cost of Revenue,1280608000.0,1160528000.0,1161000000.0,1092181000.0,1092000000.0,1059364000.0,1059000000.0,983000000.0,935000000.0
Gross Profit,321594000.0,313982000.0,314000000.0,315406000.0,315000000.0,307582000.0,308000000.0,273000000.0,264000000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,,
SG&A Expense,171803000.0,166376000.0,166000000.0,184649000.0,185000000.0,162839000.0,163000000.0,145000000.0,146000000.0
Operating Expenses,267224000.0,273091000.0,273000000.0,257710000.0,258000000.0,245011000.0,245000000.0,213000000.0,210000000.0
Operating Income,54370000.0,40891000.0,41000000.0,57696000.0,58000000.0,62571000.0,63000000.0,60000000.0,53000000.0
Interest Expense,38792000.0,33406000.0,33000000.0,34041000.0,34000000.0,37455000.0,37000000.0,69000000.0,78000000.0
Earnings before Tax,14282000.0,8195000.0,8000000.0,22747000.0,23000000.0,6761000.0,7000000.0,-33000000.0,-25000000.0
Income Tax Expense,-604000.0,1864000.0,2000000.0,13290000.0,13000000.0,2689000.0,3000000.0,-11000000.0,-9000000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,,
Net Income,14886000.0,6331000.0,6000000.0,9187000.0,9000000.0,3072000.0,3000000.0,-23000000.0,-18000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,,
Net Income Com,14886000.0,6331000.0,6000000.0,9187000.0,9000000.0,3072000.0,3000000.0,-23000000.0,-18000000.0
EPS,0.4,0.17,0.17,0.25,0.25,0.08,0.08,-0.89,-0.72
EPS Diluted,0.4,0.17,0.17,0.25,0.25,0.08,0.08,-0.89,-0.72
Weighted Average Shs Out,36811208.0,37302941.0,37000000.0,37112794.0,37000000.0,36959997.0,37000000.0,26000000.0,25000000.0
Weighted Average Shs Out (Dil),36945408.0,37466325.0,37000000.0,37262915.0,37000000.0,37088632.0,37000000.0,26000000.0,25000000.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,,
Gross Margin,0.200720009087,0.212939891896,0.2128813559322,0.224075669923,0.22372159090909,0.225014009332,0.22531089978054,0.21735668789809,0.22018348623853
EBITDA Margin,0.0948719325029,0.0803826355874,0.079322033898305,0.0942272129538,0.092329545454545,0.104067022399,0.092172640819312,0.082802547770701,0.097581317764804
EBIT Margin,0.0339345475789,0.0277319245037,0.027796610169492,0.0409892958659,0.039772727272727,0.0457743027157,0.031455742501829,0.027866242038217,0.042535446205171
Profit Margin,0.00929096331174,0.00429362974819,0.0040677966101695,0.00652677241265,0.0063920454545455,0.00224734554255,0.0021945866861741,-0.018312101910828,-0.015012510425354
Free Cash Flow margin,0.0347209652715,0.034093359828,,0.0453016403249,,0.0348843333972,,,
EBITDA,152004000.0,118525000.0,117000000.0,132633000.0,130000000.0,142254000.0,126000000.0,104000000.0,117000000.0
EBIT,54370000.0,40891000.0,41000000,57696000.0,56000000,62571000.0,43000000,35000000,51000000
Consolidated Income,14886000.0,6331000.0,6000000.0,9187000.0,9000000.0,3072000.0,3000000.0,-23000000.0,-18000000.0
Earnings Before Tax Margin,0.00891398213209,0.00555777851625,0.0054237288135593,0.0161602799685,0.016335227272727,0.00494606224386,0.0051207022677396,-0.026273885350318,-0.020850708924103
Net Profit Margin,0.00929096331174,0.00429362974819,0.0040677966101695,0.00652677241265,0.0063920454545455,0.00224734554255,0.0021945866861741,-0.018312101910828,-0.015012510425354
