Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,14127000.0,14000000.0,14917000.0,15000000.0,15567000.0,16000000.0,16142000.0,16000000.0,14474000.0,14000000.0,14445000.0,16880000.0
Stock-based compensation,6804000.0,9000000.0,6651000.0,8000000.0,7197000.0,7000000.0,6457000.0,6000000.0,4732000.0,5000000.0,3725000.0,2700000.0
Operating Cash Flow,181515000.0,182000000.0,-11650000.0,-12000000.0,223521000.0,224000000.0,233400000.0,233000000.0,199966000.0,200000000.0,188688000.0,109052000.0
Capital Expenditure,8610000.0,-9000000.0,17513000.0,-18000000.0,17013000.0,-17000000.0,19218000.0,-19000000.0,20495000.0,-20000000.0,32255000.0,38232000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,-16173000.0,-1000000,-9990000.0,512000000,0.0,123000000,0.0,-182000000,0.0,-200000000,0.0,-206201000.0
Investing Cash flow,-7055000.0,-10000000.0,491756000.0,495000000.0,87638000.0,106000000.0,-208352000.0,-201000000.0,-211987000.0,-220000000.0,-143137000.0,-79664000.0
Issuance (repayment) of debt,-140625000.0,-141000000.0,-1026000.0,-210000000.0,-8625000.0,-9000000.0,-7125000.0,-7000000.0,-54500000.0,-54000000.0,-0.0,-0.0
Issuance (buybacks) of shares,-16173000.0,-16000000.0,-9990000.0,-10000000.0,-500499000.0,000000.0,-197708000.0,000000.0,-178757000.0,000000.0,-94622000.0,-104626000.0
Dividend payments,-0.0,,-1261500000.0,,-0.0,,-0.0,,-0.0,,-106231000.0,-9992000.0
Financing Cash Flow,-156798000.0,-157000000.0,-902273000.0,-902000000.0,-8368000.0,-8000000.0,-6097000.0,-6000000.0,96156000.0,96000000.0,-55557000.0,-9990000.0
Effect of forex changes on cash,2895000.0,3000000.0,-3512000.0,-4000000.0,-18409000.0,-18000000.0,-7083000.0,-7000000.0,8506000.0,9000000.0,1997000.0,6725000.0
Net cash flow / Change in cash,17662000.0,18000000.0,-422167000.0,-422000000.0,302791000.0,303000000.0,18951000.0,19000000.0,84135000.0,84000000.0,-10006000.0,26123000.0
Free Cash Flow,172905000.0,173000000.0,-29163000.0,-29000000.0,206508000.0,207000000.0,214182000.0,214000000.0,179471000.0,179000000.0,156433000.0,70820000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
