Date,2018-12-31,2017-12-31
Depreciation & Amortization,731000.0,670000.0
Stock-based compensation,114000.0,187000.0
Operating Cash Flow,-9301000.0,-10968000.0
Capital Expenditure,-199000.0,-510000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-199000.0,-510000.0
Issuance (repayment) of debt,4957000.0,4513000.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,11423000.0,19156000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,1923000.0,7678000.0
Free Cash Flow,-9500000.0,-11478000.0
Net Cash/Marketcap,0.2997,0.2997
