Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2012-12,2011-12-31
Revenue,37042000.0,37000000.0,37601000.0,38000000.0,40602.0,41000000.0,2732050.0,57000000.0,72294886.0,0.0,000000.0,0.0
Revenue Growth,0.00113513513513514,-0.0159836174569825,-0.0105,934.914486971085,-0.999009707317073,14.0070459911056,-0.952069298245614,-0.211562488666211,0.0,0.0,0.0,0.0
Cost of Revenue,15909000.0,16000000.0,15480000.0,15000000.0,18060.0,18000000.0,36669826.0,37000000.0,38667085.0,0.0,000000.0,0.0
Gross Profit,21133000.0,21000000.0,22121000.0,22000000.0,22542.0,23000000.0,20822987.0,21000000.0,33627801.0,0.0,000000.0,0.0
R&D Expenses,2728000.0,3000000.0,2568000.0,3000000.0,3346.0,3000000.0,3974363.0,4000000.0,0.0,0.0,000000.0,0.0
SG&A Expense,20211000.0,20000000.0,21017000.0,21000000.0,25190.0,25000000.0,37718031.0,38000000.0,0.0,400482.0,1000000.0,0.0
Operating Expenses,26013000.0,26000000.0,26732000.0,27000000.0,32292.0,32000000.0,99984456.0,48000000.0,44678417.0,400482.0,1000000.0,0.0
Operating Income,-4880000.0,-5000000.0,-4611000.0,-5000000.0,-9750.0,-10000000.0,-79161469.0,-28000000.0,0.0,-400482.0,-1000000.0,0.0
Interest Expense,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Earnings before Tax,-5141000.0,-5000000.0,-4367000.0,-4000000.0,-9955.0,-10000000.0,-80215966.0,-80000000.0,0.0,0.0,-1000000.0,0.0
Income Tax Expense,52000.0,0000000.0,143000.0,0000000.0,122.0,0000000.0,-7711064.0,-8000000.0,0.0,0.0,000000.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Net Income,-5193000.0,-5000000.0,-4770000.0,-5000000.0,-11731.0,-12000000.0,-72504902.0,-73000000.0,0.0,237495.0,-1000000.0,0.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Net Income Com,-5193000.0,-5000000.0,-4770000.0,-5000000.0,-11731.0,-12000000.0,-72504902.0,-73000000.0,0.0,237495.0,-1000000.0,0.0
EPS,-0.47,-0.47,-0.13,-0.52,-0.42,-1.62,-5.96,-23.03,0.0,0.1,-1.82,0.0
EPS Diluted,-0.47,-0.47,-0.13,-0.52,-0.42,-1.62,-5.96,-23.03,0.0,0.1,-1.82,0.0
Weighted Average Shs Out,11156257.0,11000000.0,36947958.0,9000000.0,27944272.0,7000000.0,12155694.0,3000000.0,0.0,2265722.0,1000000.0,0.0
Weighted Average Shs Out (Dil),11156257.0,11000000.0,36947958.0,9000000.0,27944272.0,7000000.0,12155694.0,3000000.0,0.0,2265722.0,1000000.0,0.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0
Gross Margin,0.57051455105,0.56756756756757,0.588308821574,0.57894736842105,0.555194325403,0.5609756097561,7.62174447759,0.36842105263158,0.465147714598,0.0,,0.0
EBITDA Margin,-0.0487554667675,-0.054054054054054,-0.0389351347039,-0.026315789473684,-0.144155460322,-0.14634146341463,-26.4842817664,-0.36842105263158,0.0,0.0,,0.0
EBIT Margin,-0.131742346526,-0.13513513513514,-0.122629717295,-0.13157894736842,-0.240135953894,-0.29268292682927,-28.9751172197,-1.4210526315789,0.0,0.0,,0.0
Profit Margin,-0.140192214243,-0.13513513513514,-0.126858328236,-0.13157894736842,-0.288926653859,-0.29268292682927,-26.5386438755,-1.280701754386,0.0,0.0,,0.0
Free Cash Flow margin,-0.102586253442,,-0.0736682535039,,-0.29121718142,,-4.03489174795,,0.0,0.0,,0.0
EBITDA,-1806000.0,-2000000.0,-1464000.0,-1000000.0,-5853.0,-6000000.0,-72356382.0,-21000000.0,0.0,-400482.0,-1000000.0,0.0
EBIT,-4880000.0,-5000000,-4611000.0,-5000000,-9750.0,-12000000,-79161469.0,-81000000,0.0,-400482.0,-1000000,0.0
Consolidated Income,-5193000.0,-5000000.0,-4770000.0,-5000000.0,-11731.0,-12000000.0,-72504902.0,-73000000.0,0.0,237495.0,-1000000.0,0.0
Earnings Before Tax Margin,-0.138788402354,-0.13513513513514,-0.116140528177,-0.10526315789474,-0.245184966258,-0.24390243902439,-29.361090024,-1.4035087719298,0.0,0.0,,0.0
Net Profit Margin,-0.140192214243,-0.13513513513514,-0.126858328236,-0.13157894736842,-0.288926653859,-0.29268292682927,-26.5386438755,-1.280701754386,0.0,0.0,,0.0
