Date,2018-12-30,2017-12-31,2016-12-25,2015-12-27,2014-12-28,2013-12-29,2012-12-30,2012-11-10,2012-11-04,2012-08-09,2012-05-10,2012-05-09,2012-03-02,2012-03-01,2011-12-25,2011-11-10,2011-11-04,2011-08-09,2011-05-10,2011-05-09,2011-03-02,2011-03-01,2010-12-31,2010-11-10,2010-11-04,2010-08-09,2010-05-10,2010-05-09,2010-03-02,2010-03-01
Revenue,422638000.0,428111000.0,407131000.0,372849000.0,326979000.0,299712000.0,274914000.0,,,,,274914000.0,,,237966000.0,,,,,237966000.0,,,220573000.0,,,,,220573000.0,,
Revenue Growth,-0.0127840676833812,0.0515313252982455,0.0919460693202878,0.140284238437331,0.0909773382447149,0.0902027543158952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,111083000.0,113426000.0,111026000.0,105614000.0,93688000.0,87380000.0,79847000.0,,,,,79847000.0,,,68491000.0,,,,,68491000.0,,,63009000.0,,,,,63009000.0,,
Gross Profit,311555000.0,314685000.0,296105000.0,267235000.0,233291000.0,212332000.0,195067000.0,195067000.0,195067000.0,169475000.0,169475000.0,195067000.0,169475000.0,169475000.0,195067000.0,169475000.0,169475000.0,169475000.0,169475000.0,195067000.0,157564000.0,157564000.0,195067000.0,157564000.0,157564000.0,157564000.0,157564000.0,195067000.0,157564000.0,157564000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0,,,0.0,,,,,0.0,,
SG&A Expense,46862000.0,44618000.0,40411000.0,37322000.0,32420000.0,39656000.0,139119000.0,,,,,139119000.0,,,120458000.0,,,,,120458000.0,,,115307000.0,,,,,115307000.0,,
Operating Expenses,433240000.0,430034000.0,394118000.0,363420000.0,319708000.0,298237000.0,186508000.0,186508000.0,186508000.0,161278000.0,161278000.0,186508000.0,161278000.0,161278000.0,186508000.0,161278000.0,161278000.0,161278000.0,161278000.0,186508000.0,156802000.0,156802000.0,186508000.0,156802000.0,156802000.0,156802000.0,156802000.0,186508000.0,156802000.0,156802000.0
Operating Income,-10602000.0,-1923000.0,13013000.0,9429000.0,7271000.0,1475000.0,8559000.0,8559000.0,8559000.0,8197000.0,8197000.0,8559000.0,8197000.0,8197000.0,8559000.0,8197000.0,8197000.0,8197000.0,8197000.0,8559000.0,762000.0,762000.0,8559000.0,762000.0,762000.0,762000.0,762000.0,8559000.0,762000.0,762000.0
Interest Expense,142000.0,124000.0,134000.0,221000.0,179000.0,387000.0,541000.0,541000.0,541000.0,495000.0,495000.0,541000.0,495000.0,495000.0,541000.0,495000.0,495000.0,495000.0,495000.0,541000.0,519000.0,519000.0,541000.0,519000.0,519000.0,519000.0,519000.0,541000.0,519000.0,519000.0
Earnings before Tax,-10744000.0,-2047000.0,12879000.0,9208000.0,7092000.0,1086000.0,8052000.0,,,,,8052000.0,,,7702000.0,,,,,7702000.0,,,243000.0,,,,,243000.0,,
Income Tax Expense,-2195000.0,4643000.0,4443000.0,3466000.0,2748000.0,-204000.0,-15994000.0,,,,,-15994000.0,,,537000.0,,,,,537000.0,,,773000.0,,,,,773000.0,,
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,-34000.0,-34000.0,-34000.0,0.0,0.0,-34000.0,0.0,0.0,-34000.0,0.0,0.0,0.0,0.0,-34000.0,0.0,0.0,-34000.0,0.0,0.0,0.0,0.0,-34000.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-8878000.0,-6956000.0,8212000.0,5628000.0,4358000.0,1258000.0,24046000.0,,,,,24046000.0,,,7165000.0,,,,,7165000.0,,,-530000.0,,,,,-530000.0,,
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,10495000.0,10495000.0,10495000.0,17410000.0,17410000.0,10495000.0,17410000.0,17410000.0,10495000.0,17410000.0,17410000.0,17410000.0,17410000.0,10495000.0,45992000.0,45992000.0,10495000.0,45992000.0,45992000.0,45992000.0,45992000.0,10495000.0,45992000.0,45992000.0
Net Income Com,-8878000.0,-6956000.0,8212000.0,5628000.0,4358000.0,1258000.0,13551000.0,,,,,13551000.0,,,-10245000.0,,,,,-10245000.0,,,-46522000.0,,,,,-46522000.0,,
EPS,-0.35,-0.28,0.32,0.2,0.15,-6.29,0.72,,,,,0.72,,,-2.35,,,,,-2.35,,,-9.34,,,,,-9.34,,
EPS Diluted,-0.35,-0.28,0.31,0.2,0.14,-6.29,0.66,,,,,0.66,,,-2.35,,,,,-2.35,,,-9.34,,,,,-9.34,,
Weighted Average Shs Out,25173171.0,25045427.0,25623809.0,28002005.0,29209298.0,10132805.0,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Shs Out (Dil),25173171.0,25045427.0,26231367.0,28634396.0,30275061.0,10132805.0,4013414.0,4013414.0,4013414.0,4359930.0,4359930.0,4013414.0,4359930.0,4359930.0,4013414.0,4359930.0,4359930.0,4359930.0,4359930.0,4013414.0,4978621.0,4978621.0,4013414.0,4978621.0,4978621.0,4978621.0,4978621.0,4013414.0,4978621.0,4978621.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,4.9200591544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.737167505052,0.735054693759,0.727296619516,0.716737875118,0.713473953985,0.708453448644,0.7096,,,,,0.7096,,,0.7122,,,,,0.7122,,,0.7143,,,,,0.7143,,
EBITDA Margin,0.0297583274575,0.0555790437527,0.0878857173735,0.0829182859549,0.0824395450472,0.0647755178305,0.09,0.09,0.09,0.097,0.097,0.09,0.097,0.097,0.09,0.097,0.097,0.097,0.097,0.09,0.074,0.074,0.09,0.074,0.074,0.074,0.074,0.09,0.074,0.074
EBIT Margin,-0.0250852975833,-0.0044918257181,0.0319626852291,0.0252890580369,0.022236902064,0.00492139120222,0.0313,,,,,0.0313,,,0.0344,,,,,0.0344,,,0.0035,,,,,0.0035,,
Profit Margin,-0.021006156569,-0.0162481225663,0.0201704119804,0.0150945825254,0.0133280730567,0.00419736280162,0.049,0.049,0.049,-0.043,-0.043,0.049,-0.043,-0.043,0.049,-0.043,-0.043,-0.043,-0.043,0.049,-0.211,-0.211,0.049,-0.211,-0.211,-0.211,-0.211,0.049,-0.211,-0.211
Free Cash Flow margin,0.022697911688,0.0166662384288,0.0227371533978,0.0123240239346,-0.00811978750929,0.00594570787956,-0.0031,,,,,-0.0031,,,0.0099,,,,,0.0099,,,0.0568,,,,,0.0568,,
EBITDA,12577000.0,23794000.0,35781000.0,30916000.0,26956000.0,19414000.0,24812000.0,,,,,24812000.0,,,23035000.0,,,,,23035000.0,,,16409000.0,,,,,16409000.0,,
EBIT,-10602000.0,-1923000.0,13013000.0,9429000.0,7271000.0,1475000.0,8593000.0,8593000.0,8593000.0,8197000.0,8197000.0,8593000.0,8197000.0,8197000.0,8593000.0,8197000.0,8197000.0,8197000.0,8197000.0,8593000.0,762000.0,762000.0,8593000.0,762000.0,762000.0,762000.0,762000.0,8593000.0,762000.0,762000.0
Consolidated Income,-8878000.0,-6956000.0,8212000.0,5628000.0,4358000.0,1258000.0,24012000.0,,,,,24012000.0,,,7165000.0,,,,,7165000.0,,,-530000.0,,,,,-530000.0,,
Earnings Before Tax Margin,-0.025421282516,-0.00478147022618,0.0316335528368,0.0246963247856,0.021689466296,0.0036234785394,0.0293,,,,,0.0293,,,0.0324,,,,,0.0324,,,0.0011,,,,,0.0011,,
Net Profit Margin,-0.021006156569,-0.0162481225663,0.0201704119804,0.0150945825254,0.0133280730567,0.00419736280162,0.0875,,,,,0.0875,,,0.0301,,,,,0.0301,,,-0.0024,,,,,-0.0024,,
