Date,2018-12-31,2017-12-31,2016-12-31
Revenue,1883534732.2721,974013149.9395,184945140.3888
Revenue Growth,0.933787785502787,4.26649766461495,
Cost of Revenue,1549435021.7077,781868500.6046,140919798.4161
Gross Profit,334099710.5644,192144649.3349,44025341.9726
R&D Expenses,20787988.4226,8790659.0085,2621598.2721
SG&A Expense,159527641.0999,114553808.948,21626925.8459
Operating Expenses,348485094.0666,209410066.5054,50801007.9194
Operating Income,-14385383.5022,-17265417.1705,-6775665.9467
Interest Expense,0.0,0.0,0.0
Earnings before Tax,-6851230.1013,-16483524.7884,-6510871.1303
Income Tax Expense,1786685.9624,-503476.4208,-2958963.2829
Net Income - Non-Controlling int,486541.2446,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-8637916.0637,-15980048.3676,-3551907.8474
Preferred Dividends,325372214.1823,246169286.578,11093880.4896
Net Income Com,-334010130.246,-262149334.9456,-14645788.3369
EPS,-2.8654,-2.0707,-0.1152
EPS Diluted,-2.8654,-2.0707,-0.1152
Weighted Average Shs Out,315718777.424,123166000.0,123166000.0
Weighted Average Shs Out (Dil),168615982.3444,191656590.0846,182577393.8085
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.1774,0.1973,0.238
EBITDA Margin,-0.0004,-0.0024,-0.005
EBIT Margin,-0.0036,-0.0169,-0.0352
Profit Margin,-0.0256,-0.0407,-0.0114
Free Cash Flow margin,0.0656,0.1064,0.0861
EBITDA,-5504486.2518,-15907950.4232,-6395536.3571
EBIT,-6851230.1013,-16483524.7884,-6510871.1303
Consolidated Income,-8151374.8191,-15980048.3676,-3551907.8474
Earnings Before Tax Margin,-0.0036,-0.0169,-0.0352
Net Profit Margin,-0.0046,-0.0164,-0.0192
