Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,4696000000.0,4377000000.0,4097400000.0,4113300000.0,4391500000.0,3986800000.0
Revenue Growth,0.0728809687000228,0.0682383950798067,-0.00386550944497119,-0.0633496527382443,0.101509982943714,
Cost of Revenue,3106300000.0,2779600000.0,2527600000.0,2597300000.0,2897200000.0,2772800000.0
Gross Profit,1589700000.0,1597400000.0,1569800000.0,1516000000.0,1494300000.0,1214000000.0
R&D Expenses,73100000.0,65300000.0,57700000.0,51600000.0,49500000.0,40500000.0
SG&A Expense,959100000.0,997700000.0,962500000.0,914800000.0,991500000.0,1040600000.0
Operating Expenses,1147600000.0,1164200000.0,1103600000.0,1047100000.0,1124800000.0,1189100000.0
Operating Income,442100000.0,362300000.0,408300000.0,468900000.0,369500000.0,24900000.0
Interest Expense,159600000.0,147000000.0,178200000.0,196500000.0,217700000.0,215100000.0
Earnings before Tax,267500000.0,189600000.0,87400000.0,161200000.0,36800000.0,-269700000.0
Income Tax Expense,54200000.0,141900000.0,39800000.0,63300000.0,2100000.0,-44800000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,6000000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,207100000.0,36700000.0,41800000.0,93700000.0,27400000.0,-224900000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,207100000.0,36700000.0,41800000.0,93700000.0,27400000.0,-224900000.0
EPS,0.87,0.15,0.18,0.4,0.12,-0.97
EPS Diluted,0.85,0.15,0.17,0.39,0.12,-0.97
Weighted Average Shs Out,239000000.0,240400000.0,238100000.0,233800000.0,229300000.0,
Weighted Average Shs Out (Dil),242900000.0,246100000.0,244400000.0,239700000.0,230300000.0,228300000.0
Dividend per Share,0.00411692054343,0.0121901665989,0.0122749590835,0.0196078431373,0.00955275727312,0.0
Gross Margin,0.338522146508,0.364953164268,0.383121003563,0.368560523181,0.340270978026,0.3045
EBITDA Margin,0.174446337308,0.163993602924,0.182603602284,0.193810322612,0.159216668564,0.062
EBIT Margin,0.0941439522998,0.0827735892164,0.0996485576219,0.113996061556,0.0841398155528,-0.0137
Profit Margin,0.044101362862,0.0083847384053,0.010201591253,0.0227797632072,0.00623932597063,-0.056
Free Cash Flow margin,0.0751064735945,0.094813799406,0.103260604286,0.0635742591107,0.0143458954799,0.0539
EBITDA,819200000.0,717800000.0,748200000.0,797200000.0,699200000.0,246100000.0
EBIT,442100000.0,362300000.0,408300000.0,468900000.0,369500000.0,-54600000.0
Consolidated Income,207100000.0,36700000.0,41800000.0,93700000.0,27400000.0,-218900000.0
Earnings Before Tax Margin,0.0569633730835,0.0433173406443,0.0213305998926,0.0391899448132,0.00837982466128,-0.0676
Net Profit Margin,0.044101362862,0.0083847384053,0.010201591253,0.0227797632072,0.00623932597063,-0.0564
