Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,7341000.0,2080397.0,1691000.0
Short-term investments,0.0,0.0,
Cash and short-term investments,7341000.0,2080397.0,1691000.0
Receivables,8218000.0,3759551.0,1337000.0
Inventories,29502000.0,14159693.0,5618000.0
Total current assets,57105000.0,23288456.0,10004000.0
Property Plant & Equipment Net,11641000.0,597494.0,355000.0
Goodwill and Intangible Assets,9108000.0,4706005.0,
Long-term investments,0.0,915920.0,
Tax assets,0.0,0.0,
Total non-current assets,20916000.0,6283371.0,
Total assets,78021000.0,29571827.0,16000000.0
Payables,20226000.0,15500519.0,4603000.0
Short-term debt,263000.0,70947.0,
Total current liabilities,30434000.0,19519682.0,6440000.0
Long-term debt,48613000.0,656312.0,2111000.0
Total debt,48876000.0,727259.0,
Deferred revenue,0.0,0.0,
Tax Liabilities,0.0,0.0,
Deposit Liabilities,0.0,0.0,
Total non-current liabilities,48613000.0,656312.0,
Total liabilities,79047000.0,20175994.0,8551000.0
Other comprehensive income,-286000.0,-208711.0,
Retained earnings (deficit),0.0,3154623.0,1246000.0
Total shareholders equity,-11059000.0,9395833.0,7449000.0
Investments,0.0,915920.0,
Net Debt,41535000.0,-1353138.0,
Other Assets,12044000.0,3288815.0,
Other Liabilities,9945000.0,3948216.0,
