Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2006-12,2005-12,2004-12,2003-12,2002-12
Revenue,545220000.0,517264000.0,237272000.0,43816000.0,37177000.0,-12325000.0,16883000.0,47000000.0,28000000.0,9000000.0,3000000.0,0000000.0
Revenue Growth,0.0540459030591729,1.18004652887825,4.41519079788205,0.178578153159211,-4.01638945233266,-1.73002428478351,-0.640787234042553,0.678571428571429,2.11111111111111,2,1,
Cost of Revenue,360647000.0,344208000.0,201070000.0,30341000.0,26433000.0,19079000.0,16883000.0,,,,,
Gross Profit,184573000.0,173056000.0,36202000.0,24906000.0,39029000.0,-31404000.0,0.0,,,,,
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
SG&A Expense,36887000.0,33237000.0,19794000.0,31333000.0,23138000.0,15826000.0,6171000.0,7000000.0,5000000.0,4000000.0,0000000.0,0000000.0
Operating Expenses,47835000.0,53355000.0,39240000.0,246784000.0,210983000.0,212930000.0,172886000.0,,,,,
Operating Income,38720000.0,21908000.0,-48280000.0,-8995000.0,83264000.0,-42976000.0,-23147000.0,12000000.0,6000000.0,-0000000.0,1000000.0,-0000000.0
Interest Expense,96852000.0,75434000.0,34663000.0,55311000.0,47295000.0,34351000.0,33735000.0,,,,,
Earnings before Tax,38720000.0,21908000.0,-48280000.0,-8995000.0,80205000.0,-27931000.0,-23147000.0,,,,,
Income Tax Expense,-644000.0,3160000.0,2153000.0,780000.0,287000.0,266000.0,456000.0,000000.0,000000.0,000000.0,000000.0,-0000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income,85263000.0,33358000.0,-47928000.0,19048000.0,83264000.0,-42976000.0,-19259000.0,-5000000.0,-2000000.0,-3000000.0,-0000000.0,-0000000.0
Preferred Dividends,79963000.0,6234000.0,6234000.0,0.0,0.0,0.0,0.0,,,,,
Net Income Com,85263000.0,33358000.0,-47928000.0,19048000.0,83264000.0,-42976000.0,-19259000.0,-5000000.0,-2000000.0,-3000000.0,-0000000.0,-0000000.0
EPS,0.52,0.19,-0.3,0.08,0.34,-0.17,-0.1,-0.22,-0.12,-0.14,-0.46,-0.24
EPS Diluted,0.52,0.19,-0.3,0.08,0.34,-0.17,-0.1,-0.22,-0.12,-0.14,-0.46,-0.24
Weighted Average Shs Out,150660964.0,140192424.0,182096149.0,236866656.0,242379680.0,248154277.0,0.0,21000000.0,21000000.0,19000000.0,1000000.0,0000000.0
Weighted Average Shs Out (Dil),150679909.0,141009021.0,182096149.0,236866656.0,242379680.0,248154277.0,0.0,21000000.0,21000000.0,19000000.0,1000000.0,0000000.0
Dividend per Share,1.49013230423,1.05313120357,0.301313346281,0.503950205638,0.519932198937,0.317665288517,0.0,,,,,
Gross Margin,0.338529400976,0.334560301896,0.152575946593,0.568422494066,1.04981574629,0.0,0.0,0,0,0,0,
EBITDA Margin,0.549389237372,0.485432970398,0.159702788361,2.26367080519,5.01108212067,0.0,0.0,0.59574468085106,0.57142857142857,0.33333333333333,0.66666666666667,
EBIT Margin,0.0710172040644,0.0423536144019,-0.203479550895,-0.205290304911,2.23966430858,0.0,0.0,-0.1063829787234,-0.071428571428571,-0.33333333333333,0,
Profit Margin,0.15638274458,0.0644893130007,-0.201996021444,0.434727040351,2.23966430858,0.0,0.0,-0.1063829787234,-0.071428571428571,-0.33333333333333,-0,
Free Cash Flow margin,0.378874582737,0.373667991587,0.122707272666,3.6920987767,3.56838905775,-7.5045841785,3.48948646568,,,,,
EBITDA,299538000.0,251097000.0,37893000.0,99185000.0,186297000.0,31428000.0,39473000.0,28000000.0,16000000.0,3000000.0,2000000.0,-0000000.0
EBIT,38720000.0,21908000.0,-48280000.0,-8995000.0,83264000.0,-42976000.0,-23147000.0,-5000000,-2000000,-3000000,0,0
Consolidated Income,85263000.0,33358000.0,-47928000.0,19048000.0,83264000.0,-42976000.0,-19259000.0,-5000000.0,-2000000.0,-3000000.0,-0000000.0,-0000000.0
Earnings Before Tax Margin,0.0710172040644,0.0423536144019,-0.203479550895,-0.205290304911,2.15738225247,0.0,0.0,0,0,0,0,
Net Profit Margin,0.15638274458,0.0644893130007,-0.201996021444,0.434727040351,2.23966430858,0.0,0.0,-0.1063829787234,-0.071428571428571,-0.33333333333333,-0,
