Date,2018-12-31,2017-12-31
Revenue,68431000.0,30850000.0
Revenue Growth,1.2181847649919,
Cost of Revenue,20269000.0,8312000.0
Gross Profit,48162000.0,22538000.0
R&D Expenses,24861000.0,12028000.0
SG&A Expense,59496000.0,27552000.0
Operating Expenses,84357000.0,39580000.0
Operating Income,-36195000.0,-17042000.0
Interest Expense,0.0,0.0
Earnings before Tax,-33354000.0,-16919000.0
Income Tax Expense,28000.0,-61000.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-33382000.0,-16858000.0
Preferred Dividends,162000.0,143000.0
Net Income Com,-33544000.0,-17001000.0
EPS,-2.02,-1.18
EPS Diluted,-2.02,-1.18
Weighted Average Shs Out,90920000.0,90920000.0
Weighted Average Shs Out (Dil),16573000.0,14442000.0
Dividend per Share,0.0,0.0
Gross Margin,0.7038,0.7306
EBITDA Margin,-0.46,-0.536
EBIT Margin,-0.4874,-0.5484
Profit Margin,-0.49,-0.551
Free Cash Flow margin,-0.5488,-0.5768
EBITDA,-31499000.0,-16543000.0
EBIT,-33354000.0,-16919000.0
Consolidated Income,-33382000.0,-16858000.0
Earnings Before Tax Margin,-0.4874,-0.5484
Net Profit Margin,-0.4878,-0.5465
