Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Depreciation & Amortization,63318000.0,61000000.0,72993000.0,61000000.0,53373000.0,50000000.0,25920000.0,23000000.0,25728000.0,22000000.0
Stock-based compensation,0.0,,0.0,,0.0,,0.0,,0.0,
Operating Cash Flow,71572000.0,72000000.0,31612000.0,32000000.0,100949000.0,101000000.0,151237000.0,151000000.0,141545000.0,142000000.0
Capital Expenditure,2128000.0,-2000000.0,6785000.0,-7000000.0,223540000.0,-224000000.0,152160000.0,-152000000.0,52634000.0,-53000000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Investing Cash flow,-2101000.0,-2000000.0,-6761000.0,-7000000.0,-221037000.0,-221000000.0,-152160000.0,-152000000.0,-52634000.0,-53000000.0
Issuance (repayment) of debt,-44480000.0,-131000000.0,-238650000.0,-333000000.0,-19230000.0,-19000000.0,-3985000.0,-4000000.0,-419310000.0,-419000000.0
Issuance (buybacks) of shares,-16275000.0,,-8080000.0,,-13238000.0,,-71810000.0,,-182977000.0,
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Financing Cash Flow,-61276000.0,-61000000.0,-30009000.0,-30000000.0,61516000.0,62000000.0,-110244000.0,-110000000.0,52358000.0,52000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,
Net cash flow / Change in cash,8195000.0,8000000.0,-5158000.0,-5000000.0,-58572000.0,-59000000.0,-111167000.0,-111000000.0,141269000.0,141000000.0
Free Cash Flow,69444000.0,69000000.0,24827000.0,25000000.0,-122591000.0,-123000000.0,-923000.0,-1000000.0,88911000.0,89000000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,
