Date,2018-12-31,2017-12-31
Cash and cash equivalents,64980000.0,63494000.0
Short-term investments,0.0,0.0
Cash and short-term investments,64980000.0,63494000.0
Receivables,55822000.0,30957000.0
Inventories,0.0,0.0
Total current assets,121951000.0,100419000.0
Property Plant & Equipment Net,21649000.0,11121000.0
Goodwill and Intangible Assets,8914000.0,7266000.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,57799000.0,26643000.0
Total assets,179750000.0,127062000.0
Payables,12638000.0,5316000.0
Short-term debt,0.0,0.0
Total current liabilities,112234000.0,57255000.0
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,70699000.0,39101000.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,2752000.0,4703000.0
Total liabilities,114986000.0,61958000.0
Other comprehensive income,31000.0,-48000.0
Retained earnings (deficit),-106906000.0,-95369000.0
Total shareholders equity,-76041000.0,-75701000.0
Investments,0.0,0.0
Net Debt,-64980000.0,-63494000.0
Other Assets,1149000.0,5968000.0
Other Liabilities,99596000.0,51939000.0
