Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,1998-12,1997-12,1996-12,1995-12,1994-12
Revenue,2531900000.0,2653400000.0,2938500000.0,2753400000.0,2646400000.0,2423300000.0,2329400000.0,2077700000.0,2190400000.0,,,,,
Revenue Growth,-0.0457903067762117,-0.0970222902841586,0.0672259751579865,0.0404322853688029,0.09206454008996,0.0403108096505538,0.121143572219281,-0.0514517896274653,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,1573000000.0,1994700000.0,1576100000.0,1366200000.0,1307500000.0,1223700000.0,1238500000.0,1556000000.0,1248700000.0,,,,,
Gross Profit,958900000.0,658700000.0,1362400000.0,1387200000.0,1338900000.0,1199600000.0,1090900000.0,521700000.0,941700000.0,,,,,
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
SG&A Expense,491700000.0,502200000.0,490100000.0,424000000.0,445700000.0,368100000.0,345100000.0,280200000.0,258600000.0,,,,,
Operating Expenses,491700000.0,502200000.0,490100000.0,424000000.0,445700000.0,368100000.0,345100000.0,280200000.0,258600000.0,,,,,
Operating Income,-156000000.0,-281800000.0,209500000.0,337500000.0,367900000.0,329300000.0,280400000.0,-143000000.0,340300000.0,,,,,
Interest Expense,25900000.0,29500000.0,29500000.0,29500000.0,29500000.0,32700000.0,30900000.0,0.0,0.0,,,,,
Earnings before Tax,-156000000.0,-281800000.0,209500000.0,337500000.0,367900000.0,-12200000.0,-58300000.0,-143000000.0,340300000.0,,,,,
Income Tax Expense,-10200000.0,-15400000.0,6100000.0,14400000.0,12100000.0,13400000.0,15000000.0,-37200000.0,27600000.0,,,,,
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income,-146800000.0,-267700000.0,203300000.0,323100000.0,355800000.0,329300000.0,280400000.0,-105800000.0,312700000.0,37000000.0,31000000.0,27000000.0,28000000.0,24000000.0
Preferred Dividends,30500000.0,36200000.0,41800000.0,37800000.0,37800000.0,35500000.0,31100000.0,0.0,0.0,,,,,
Net Income Com,-146800000.0,-267700000.0,203300000.0,323100000.0,355800000.0,329300000.0,280400000.0,-105800000.0,312700000.0,37000000.0,31000000.0,27000000.0,28000000.0,24000000.0
EPS,-2.97,-5.22,2.67,4.64,4.92,4.29,3.51,-1.82,3.8,1.33,1.14,0.98,1.01,0.85
EPS Diluted,-2.97,-5.22,2.61,4.54,4.82,4.14,3.38,-1.82,3.62,1.29,1.13,0.98,1.01,0.85
Weighted Average Shs Out,59655507.0,59753886.0,60478740.0,61287884.0,64536491.0,66872048.0,71095856.0,70665166.0,76342632.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0
Weighted Average Shs Out (Dil),59655507.0,59753886.0,61860689.0,62687503.0,65872949.0,69417903.0,73689423.0,70665166.0,76342632.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0
Dividend per Share,1.23039772338,1.54634294412,1.5276260502,1.41495506688,1.33742304447,1.19997862799,1.05985359663,0.322648361146,0.298653575371,,,,,
Gross Margin,0.378727437892,0.248247531469,0.463637910499,0.503813466986,0.505932587666,0.495027441918,0.468318021808,0.251094960774,0.42992147553,,,,,
EBITDA Margin,-0.0444725305107,-0.0827617396548,0.0888208269525,0.132926563521,0.150204050786,0.152849420212,0.137030995106,-0.0553015353516,0.165129656684,,,,,
EBIT Margin,-0.0616138078123,-0.106203361725,0.0712948783393,0.122575724559,0.13901904474,0.135889076879,0.120374345325,-0.0688261057901,0.155359751644,,,,,
Profit Margin,-0.0579801729926,-0.100889424889,0.0691849583121,0.117345826978,0.134446795647,0.135889076879,0.120374345325,-0.0509216922559,0.142759313367,,,,,
Free Cash Flow margin,-0.120265413326,-0.0420215572473,0.154228347796,0.208542166049,0.229519347037,0.233730862873,0.213102086374,0.165327044328,0.28515339664,,,,,
EBITDA,-112600000.0,-219600000.0,261000000.0,366000000.0,397500000.0,370400000.0,319200000.0,-114900000.0,361700000.0,,,,,
EBIT,-156000000.0,-281800000.0,209500000.0,337500000.0,367900000.0,329300000.0,280400000.0,-143000000.0,340300000.0,37000000,31000000,27000000,28000000,24000000
Consolidated Income,-146800000.0,-267700000.0,203300000.0,323100000.0,355800000.0,329300000.0,280400000.0,-105800000.0,312700000.0,37000000.0,31000000.0,27000000.0,28000000.0,24000000.0
Earnings Before Tax Margin,-0.0616138078123,-0.106203361725,0.0712948783393,0.122575724559,0.13901904474,-0.00503445714522,-0.0250279041813,-0.0688261057901,0.155359751644,,,,,
Net Profit Margin,-0.0579801729926,-0.100889424889,0.0691849583121,0.117345826978,0.134446795647,0.135889076879,0.120374345325,-0.0509216922559,0.142759313367,,,,,
