Date,2018-12-31,2017-12-31
Depreciation & Amortization,1071000.0,1389000.0
Stock-based compensation,2778000.0,1246000.0
Operating Cash Flow,-30712000.0,-26861000.0
Capital Expenditure,-586000.0,-915000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-586000.0,-915000.0
Issuance (repayment) of debt,5055000.0,0.0
Issuance (buybacks) of shares,45000.0,26000.0
Dividend payments,0.0,0.0
Financing Cash Flow,63947000.0,25697000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,32649000.0,-2079000.0
Free Cash Flow,-31298000.0,-27776000.0
Net Cash/Marketcap,0.1328,0.1328
