Date,2018-12-31,2017-12-31
Revenue,0.0,0.0
Revenue Growth,0.0,
Cost of Revenue,0.0,0.0
Gross Profit,0.0,0.0
R&D Expenses,11536000.0,3616000.0
SG&A Expense,2974000.0,1190000.0
Operating Expenses,14510000.0,4806000.0
Operating Income,-14510000.0,-4806000.0
Interest Expense,407000.0,555000.0
Earnings before Tax,-17512000.0,-6032000.0
Income Tax Expense,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-17512000.0,-6032000.0
Preferred Dividends,0.0,0.0
Net Income Com,-17512000.0,-6032000.0
EPS,-4378000.0,-0.28
EPS Diluted,-4378000.0,-0.28
Weighted Average Shs Out,21372912.0,21373000.0
Weighted Average Shs Out (Dil),4000000.0,
Dividend per Share,0.0,0.0
Gross Margin,0.0,0.0
EBITDA Margin,,
EBIT Margin,0.0,0.0
Profit Margin,,
Free Cash Flow margin,0.0,0.0
EBITDA,-17099000.0,-5476000.0
EBIT,-17105000.0,-5477000.0
Consolidated Income,-17512000.0,-6032000.0
Earnings Before Tax Margin,0.0,0.0
Net Profit Margin,0.0,0.0
