Date,2019-06-27,2019-06-26,2018-06-27,2017-06-28,2016-06-29,2015-06-24,2014-06-25,2013-06-26,2012-06-27,2011-06-29,2010-06-30,2009-06-24
Depreciation & Amortization,147600000.0,147600000.0,151392000.0,156409000.0,156368000.0,145242000.0,136081000.0,131481000.0,125054000.0,128447000.0,135832000.0,145220000.0
Stock-based compensation,16400000.0,16400000.0,14245000.0,14568000.0,15159000.0,14802000.0,16074000.0,15909000.0,13461000.0,12789000.0,,17128000.0
Operating Cash Flow,212700000.0,212700000.0,284451000.0,312886000.0,394700000.0,368611000.0,359842000.0,290688000.0,303438000.0,259988000.0,297402000.0,234007000.0
Capital Expenditure,-167600000.0,167600000.0,101281000.0,102573000.0,112788000.0,140262000.0,161066000.0,131531000.0,125226000.0,70361000.0,-60879000.0,-88152000.0
Acquisitions and disposals,-3100000.0,-3100000.0,-0.0,-0.0,-105577000.0,-0.0,-0.0,-24622000.0,-3120000.0,-0.0,0.0,0.0
Investment purchases and sales,2800000.0,-167700000.0,-303239000.0,-370877000.0,-284905000.0,-306255000.0,-239597000.0,-333384000.0,-287291000.0,-422099000.0,,-4612000.0
Investing Cash flow,321300000.0,321300000.0,-77794000.0,-99416000.0,-214109000.0,-138312000.0,-160178000.0,-137844000.0,-123404000.0,-64561000.0,-4527000.0,-6211000.0
Issuance (repayment) of debt,-306500000.0,-9500000.0,-260311000.0,-3832000.0,-3402000.0,-189177000.0,-26521000.0,-316380000.0,-18749000.0,-16127000.0,,-180492000.0
Issuance (buybacks) of shares,-164700000.0,-167700000.0,-303239000.0,-370877000.0,-284905000.0,-306255000.0,-239597000.0,-333384000.0,-287291000.0,-422099000.0,,911000.0
Dividend payments,-60300000.0,-60300000.0,-70009000.0,-70771000.0,-74066000.0,-70832000.0,-63395000.0,-56343000.0,-50081000.0,-53185000.0,,-45355000.0
Financing Cash Flow,-531500000.0,-531500000.0,-204849000.0,-235852000.0,-204266000.0,-232863000.0,-201346000.0,-152580000.0,-202919000.0,-458063000.0,-249438000.0,-224385000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Net cash flow / Change in cash,2500000.0,2500000.0,1808000.0,-22382000.0,-23675000.0,-2564000.0,-1682000.0,264000.0,-22885000.0,-262636000.0,250468000.0,39442000.0
Free Cash Flow,45100000.0,45100000.0,183170000.0,210313000.0,281912000.0,228349000.0,198776000.0,159157000.0,178212000.0,189627000.0,,145855000.0
Net Cash/Marketcap,-0.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1326,-0.3916
