Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,204323000.0,148595000.0,105984000.0,75960000.0,62581000.0
Revenue Growth,0.375032807294996,0.402051253019324,0.395260663507109,0.213786932135952,
Cost of Revenue,49494000.0,34159000.0,25568000.0,18708000.0,16158000.0
Gross Profit,154829000.0,114436000.0,80416000.0,57252000.0,46423000.0
R&D Expenses,42359000.0,26835000.0,19251000.0,15075000.0,13242000.0
SG&A Expense,154007000.0,116338000.0,87157000.0,63622000.0,55937000.0
Operating Expenses,196366000.0,143173000.0,106408000.0,78697000.0,69179000.0
Operating Income,-41537000.0,-28737000.0,-25992000.0,-21445000.0,-22756000.0
Interest Expense,0.0,0.0,0.0,589000.0,81000.0
Earnings before Tax,-40682000.0,-30884000.0,-24180000.0,-22013000.0,-22322000.0
Income Tax Expense,-323000.0,324000.0,63000.0,-7000.0,199000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,-40359000.0,-31208000.0,-24243000.0,-22006000.0,-22521000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0
Net Income Com,-40359000.0,-31208000.0,-24243000.0,-22006000.0,-22521000.0
EPS,-1.35,-1.08,-1.68,-5.79,-6.09
EPS Diluted,-1.35,-1.08,-1.68,-5.79,-6.09
Weighted Average Shs Out,29841000.0,28557153.0,28557153.0,3990000.0,
Weighted Average Shs Out (Dil),29841000.0,28966000.0,14464000.0,3803000.0,3696000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.757765890282,0.7701,0.7588,0.7537,0.7418
EBITDA Margin,-0.18099773398,-0.194,-0.214,-0.263,-0.333
EBIT Margin,-0.203290867891,-0.2078,-0.2281,-0.282,-0.3554
Profit Margin,-0.197525486607,-0.21,-0.229,-0.29,-0.36
Free Cash Flow margin,-0.00868722561826,-0.0306,0.0185,-0.1417,-0.2698
EBITDA,-36982000.0,-28790000.0,-22673000.0,-19956000.0,-20847000.0
EBIT,-41537000.0,-30884000.0,-24180000.0,-21424000.0,-22241000.0
Consolidated Income,-40359000.0,-31208000.0,-24243000.0,-22006000.0,-22521000.0
Earnings Before Tax Margin,-0.199106316959,-0.2078,-0.2281,-0.2898,-0.3567
Net Profit Margin,-0.197525486607,-0.21,-0.2287,-0.2897,-0.3599
