Date,2018-09-30,2017-09-30
Depreciation & Amortization,637611.0,182346.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,902706.0,770749.0
Capital Expenditure,0.0,-7549281.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,0.0,-7549281.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,0.0,7615000.0
Dividend payments,0.0,0.0
Financing Cash Flow,0.0,7615000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,902706.0,836468.0
Free Cash Flow,902706.0,-6778532.0
Net Cash/Marketcap,,
