Date,2018-07-01,2017-07-02,2017-06,2016-07-03,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06-30,2013-06,2012-06-30
Depreciation & Amortization,14515000.0,14890000.0,14000000.0,15675000.0,16000000.0,11236000.0,11000000.0,8123000.0,5000000.0,4761000.0,5000000.0,1814000.0
Stock-based compensation,-285000.0,1463000.0,1000000.0,289000.0,0000000.0,1885000.0,2000000.0,1662000.0,2000000.0,1128000.0,1000000.0,943000.0
Operating Cash Flow,-4109000.0,31468000.0,31000000.0,48132000.0,48000000.0,4537000.0,5000000.0,12451000.0,12000000.0,2934000.0,3000000.0,26917000.0
Capital Expenditure,4236000.0,6896000.0,-7000000.0,6098000.0,-6000000.0,5802000.0,-6000000.0,3501000.0,-4000000.0,3872000.0,-4000000.0,4244000.0
Acquisitions and disposals,-0.0,-0.0,,178000.0,,-97319000.0,,-0.0,,-45438000.0,,-0.0
Investment purchases and sales,0.0,0.0,0,-140000.0,1000000,-6830000.0,-1000000,-1559000.0,0,-2360000.0,0,-2997000.0
Investing Cash flow,-4213000.0,-6874000.0,-7000000.0,-4842000.0,-5000000.0,-104107000.0,-104000000.0,-38992000.0,-39000000.0,-51135000.0,-51000000.0,-2219000.0
Issuance (repayment) of debt,-0.0,-0.0,-153000000.0,-0.0,-185000000.0,-102335000.0,-102000000.0,-40623000.0,-41000000.0,-29140000.0,-29000000.0,-135000.0
Issuance (buybacks) of shares,0.0,0.0,000000.0,-140000.0,-0000000.0,-6830000.0,-7000000.0,-1559000.0,-2000000.0,-2360000.0,-2000000.0,-2997000.0
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Financing Cash Flow,8494000.0,-23738000.0,-24000000.0,-58072000.0,-58000000.0,106456000.0,106000000.0,28484000.0,28000000.0,7336000.0,7000000.0,-2298000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net cash flow / Change in cash,172000.0,856000.0,1000000.0,-14782000.0,-15000000.0,6886000.0,7000000.0,1943000.0,2000000.0,-40865000.0,-41000000.0,22400000.0
Free Cash Flow,-8345000.0,24572000.0,25000000.0,42034000.0,42000000.0,-1265000.0,-1000000.0,8950000.0,9000000.0,-938000.0,-1000000.0,22673000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
