Date,2018-12-31,2017-12-31
Revenue,0.0,0.0
Revenue Growth,0.0,
Cost of Revenue,0.0,0.0
Gross Profit,0.0,0.0
R&D Expenses,13755000.0,3632000.0
SG&A Expense,2981000.0,2051000.0
Operating Expenses,16736000.0,5683000.0
Operating Income,-16736000.0,-5683000.0
Interest Expense,0.0,488000.0
Earnings before Tax,-16503000.0,-6601000.0
Income Tax Expense,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-16503000.0,-6601000.0
Preferred Dividends,0.0,12543000.0
Net Income Com,-16503000.0,-19144000.0
EPS,-11.69,-13.56
EPS Diluted,-11.69,-13.56
Weighted Average Shs Out,,
Weighted Average Shs Out (Dil),1411966.0,1411966.0
Dividend per Share,0.0,0.0
Gross Margin,0.0,0.0
EBITDA Margin,,
EBIT Margin,0.0,0.0
Profit Margin,,
Free Cash Flow margin,0.0,0.0
EBITDA,-16503000.0,-6113000.0
EBIT,-16503000.0,-6113000.0
Consolidated Income,-16503000.0,-6601000.0
Earnings Before Tax Margin,0.0,0.0
Net Profit Margin,0.0,0.0
