Date,2018-12-31,2017-12-31
Depreciation & Amortization,1445000.0,818000.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,4203000.0,9480000.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,2540000.0,-8550000.0
Investing Cash flow,2540000.0,-8550000.0
Issuance (repayment) of debt,11752000.0,0.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,2475000.0,-8586000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,9218000.0,-7656000.0
Free Cash Flow,4203000.0,9480000.0
Net Cash/Marketcap,,
