Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,48211.0,0000000.0,42358.0,0000000.0,32916.0,0000000.0,27498.0,0000000.0,28325.0,0000000.0,37133.0,42386.0,45070.0,50659.0,41604.0
Stock-based compensation,1250985.0,1000000.0,1075367.0,1000000.0,1507137.0,2000000.0,1139679.0,1000000.0,1017795.0,1000000.0,872228.0,230987.0,638607.0,2692657.0,497531.0
Operating Cash Flow,-18838638.0,-19000000.0,-15420055.0,-15000000.0,-13227101.0,-13000000.0,-17351950.0,-17000000.0,-11041211.0,-11000000.0,-7984856.0,-6619559.0,-15530306.0,-6986598.0,-5146845.0
Capital Expenditure,-39224.0,-0000000.0,-75168.0,-0000000.0,-8666.0,-0000000.0,-62302.0,-0000000.0,-41249.0,-0000000.0,-50149.0,0.0,-16047.0,-5246.0,-18370.0
Acquisitions and disposals,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,11950220.0,12000000,-9297610.0,-9000000,4492577.0,4000000,9616696.0,10000000,-22815926.0,-23000000,0.0,1850000.0,500000.0,-2278960.0,3386255.0
Investing Cash flow,11910996.0,12000000.0,-9372778.0,-9000000.0,4483911.0,4000000.0,9554394.0,10000000.0,-22661045.0,-23000000.0,845522.0,2189964.0,-545919.0,-660039.0,1341825.0
Issuance (repayment) of debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,6872789.0,,22113514.0,,10122223.0,,8170751.0,,24840470.0,,12340822.0,7128650.0,13597474.0,12688844.0,10733922.0
Dividend payments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,6772789.0,7000000.0,22113514.0,22000000.0,10122223.0,10000000.0,8170751.0,8000000.0,24840470.0,25000000.0,12340822.0,8054650.0,13597474.0,12688844.0,10733922.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-154853.0,-0000000.0,-2679319.0,-3000000.0,1379033.0,1000000.0,373195.0,0000000.0,-8861786.0,-9000000.0,5201488.0,3625055.0,-2478751.0,5042207.0,6928902.0
Free Cash Flow,-18877862.0,-19000000.0,-15495223.0,-15000000.0,-13235767.0,-13000000.0,-17414252.0,-17000000.0,-11082460.0,-11000000.0,-8035005.0,-6619559.0,-15546353.0,-6991844.0,-5165215.0
Net Cash/Marketcap,0.422,,0.4027,,0.5706,,0.3602,,0.2621,,0.2537,0.4966,0.3472,0.1619,0.1942
