Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Revenue,1371000.0,40000000.0,40000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,000000.0
Revenue Growth,-0.965725,0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cost of Revenue,0.0,0.0,,0.0,,0.0,,0.0,,
Gross Profit,0.0,0.0,40000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,000000.0
R&D Expenses,11075000.0,94612000.0,95000000.0,71984000.0,72000000.0,60025000.0,60000000.0,32608000.0,33000000.0,15000000.0
SG&A Expense,27395000.0,29870000.0,30000000.0,24336000.0,24000000.0,22483000.0,22000000.0,13505000.0,14000000.0,4000000.0
Operating Expenses,76783000.0,124482000.0,124000000.0,96320000.0,96000000.0,82508000.0,83000000.0,46113000.0,46000000.0,19000000.0
Operating Income,-75412000.0,-84482000.0,-84000000.0,-96320000.0,-96000000.0,-82508000.0,-83000000.0,-46113000.0,-46000000.0,-19000000.0
Interest Expense,2429000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0000000.0
Earnings before Tax,-76333000.0,-85226000.0,-85000000.0,-95570000.0,-96000000.0,-82177000.0,-82000000.0,-57513000.0,-58000000.0,-18000000.0
Income Tax Expense,0.0,-247000.0,-0000000.0,247000.0,0000000.0,0.0,000000.0,0.0,000000.0,000000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income,-76333000.0,-84979000.0,-85000000.0,-95817000.0,-96000000.0,-82177000.0,-82000000.0,-57513000.0,-58000000.0,-18000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,25559000.0,,
Net Income Com,-76333000.0,-84979000.0,-85000000.0,-95817000.0,-96000000.0,-82177000.0,-82000000.0,-57513000.0,-58000000.0,-18000000.0
EPS,-10.64,-2.41,-14.46,-3.11,-18.66,-2.84,-17.04,-4.39,-26.34,-11.94
EPS Diluted,-10.64,-2.41,-14.46,-3.11,-18.66,-2.84,-17.04,-4.39,-26.34,-11.94
Weighted Average Shs Out,7171000.0,35228000.0,6000000.0,30784000.0,5000000.0,28964000.0,5000000.0,18921533.0,3000000.0,2000000.0
Weighted Average Shs Out (Dil),7171000.0,35228000.0,6000000.0,30784000.0,5000000.0,28964000.0,5000000.0,18921533.0,3000000.0,2000000.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,
Gross Margin,0.0,0.0,1,0.0,,0.0,,0.0,,
EBITDA Margin,-54.2319474836,-2.104275,-2.1,0.0,,0.0,,0.0,,
EBIT Margin,-55.0051057622,-2.11205,-2.125,0.0,,0.0,,0.0,,
Profit Margin,-55.6768781911,-2.124475,-2.125,0.0,,0.0,,0.0,,
Free Cash Flow margin,-21.3639679066,-2.92585,,0.0,,0.0,,0.0,,
EBITDA,-74352000.0,-84171000.0,-84000000.0,-96105000.0,-96000000.0,-82314000.0,-82000000.0,-46006000.0,-57000000.0,-18000000.0
EBIT,-75412000.0,-84482000.0,-85000000,-96320000.0,-96000000,-82508000.0,-82000000,-46113000.0,-58000000,-18000000
Consolidated Income,-76333000.0,-84979000.0,-85000000.0,-95817000.0,-96000000.0,-82177000.0,-82000000.0,-57513000.0,-58000000.0,-18000000.0
Earnings Before Tax Margin,-55.6768781911,-2.13065,-2.125,0.0,,0.0,,0.0,,
Net Profit Margin,-55.6768781911,-2.124475,-2.125,0.0,,0.0,,0.0,,
