Date,2018-02-24,2018-02,2017-02-25,2017-02,2016-02-27,2016-02,2015-02-28,2015-02,2014-02-22,2014-02,2013-02-23,2012-02-25,2011-02-26,2010-02-27
Depreciation & Amortization,197000000.0,197000000.0,207000000.0,207000000.0,276000000.0,276000000.0,285000000.0,285000000.0,302000000.0,302000000.0,365000000.0,0.0,0.0,0.0
Stock-based compensation,19000000.0,19000000.0,18000000.0,18000000.0,26000000.0,26000000.0,23000000.0,23000000.0,22000000.0,22000000.0,13000000.0,0.0,0.0,0.0
Operating Cash Flow,135000000.0,135000000.0,361000000.0,361000000.0,424000000.0,424000000.0,408000000.0,408000000.0,19000000.0,19000000.0,898000000.0,0.0,0.0,0.0
Capital Expenditure,276000000.0,-276000000.0,182000000.0,-182000000.0,261000000.0,-261000000.0,239000000.0,-239000000.0,111000000.0,-111000000.0,228000000.0,0.0,0.0,0.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0,-0.0,-0.0
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Investing Cash flow,-506000000.0,-506000000.0,1021000000.0,1021000000.0,-288000000.0,-288000000.0,-285000000.0,-285000000.0,49000000.0,49000000.0,-364000000.0,0.0,0.0,0.0
Issuance (repayment) of debt,-10000000.0,,-6000000.0,,-9000000.0,,-42000000.0,,-151000000.0,,-66000000.0,-0.0,-0.0,-0.0
Issuance (buybacks) of shares,-41000000.0,,-329000000.0,,-47000000.0,,-107000000.0,,94000000.0,,-72000000.0,0.0,0.0,0.0
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-37000000.0,-0.0,-0.0,-0.0
Financing Cash Flow,87000000.0,87000000.0,-1107000000.0,-1107000000.0,-193000000.0,-193000000.0,-92000000.0,-92000000.0,-134000000.0,-134000000.0,-542000000.0,0.0,0.0,0.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-284000000.0,-284000000.0,275000000.0,275000000.0,-57000000.0,-57000000.0,31000000.0,31000000.0,-66000000.0,-66000000.0,-8000000.0,0.0,0.0,0.0
Free Cash Flow,-141000000.0,-141000000.0,179000000.0,179000000.0,163000000.0,163000000.0,169000000.0,169000000.0,-92000000.0,-92000000.0,670000000.0,0.0,0.0,0.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
