Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Revenue,443588000.0,489180000.0,468764000.0,500106000.0,466904000.0,0.0,0.0,0.0,438543000.0,0.0,386189000.0,0.0,0.0,0.0,352089000.0,339426000.0,326466000.0,324158000.0
Revenue Growth,-0.0932008667566131,0.043552832555401,-0.0626707138086726,0.0711109778455528,0.0,0.0,0.0,-1,0.0,-1,0.0,0.0,0.0,-1,0.0373071008113698,0.0396978552131003,0.00711998469881971,-0.2009
Cost of Revenue,373648000.0,390961000.0,360113000.0,386407000.0,357044000.0,0.0,0.0,0.0,338280000.0,0.0,295720000.0,0.0,0.0,0.0,266810000.0,262124000.0,251685000.0,263083000.0
Gross Profit,69940000.0,98219000.0,108651000.0,113699000.0,109860000.0,0.0,0.0,0.0,100263000.0,0.0,90469000.0,0.0,0.0,0.0,85279000.0,77302000.0,74781000.0,61075000.0
R&D Expenses,4400000.0,3900000.0,3700000.0,4200000.0,4100000.0,0.0,0.0,0.0,2800000.0,0.0,2500000.0,0.0,0.0,0.0,2300000.0,0.0,0.0,0.0
SG&A Expense,81298000.0,71949000.0,72562000.0,77911000.0,75688000.0,0.0,0.0,0.0,71727000.0,0.0,70198000.0,0.0,0.0,0.0,65033000.0,60422000.0,57252000.0,60792000.0
Operating Expenses,85698000.0,75849000.0,76262000.0,82111000.0,79788000.0,0.0,0.0,0.0,74527000.0,0.0,72698000.0,0.0,0.0,0.0,67333000.0,61438000.0,57252000.0,63347000.0
Operating Income,-43154000.0,24505000.0,37264000.0,38068000.0,34422000.0,0.0,0.0,0.0,22286000.0,0.0,20271000.0,0.0,0.0,0.0,20246000.0,15864000.0,17529000.0,-2272000.0
Interest Expense,0.0,0.0,0.0,69000.0,130000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439000.0,968000.0
Earnings before Tax,-42608000.0,25126000.0,37586000.0,37927000.0,35559000.0,0.0,0.0,0.0,23800000.0,0.0,20881000.0,0.0,0.0,0.0,20668000.0,16207000.0,17451000.0,-2579000.0
Income Tax Expense,-10003000.0,7460000.0,13800000.0,13690000.0,13260000.0,0.0,0.0,0.0,8810000.0,0.0,7730000.0,0.0,0.0,0.0,7600000.0,5790000.0,6650000.0,-1070000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-32605000.0,17666000.0,23786000.0,24237000.0,22299000.0,0.0,0.0,0.0,14990000.0,0.0,13151000.0,0.0,0.0,0.0,13068000.0,10417000.0,10801000.0,-1509000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-32605000.0,17666000.0,23786000.0,24237000.0,22299000.0,0.0,0.0,0.0,14990000.0,0.0,13151000.0,0.0,0.0,0.0,13068000.0,10417000.0,10801000.0,-1509000.0
EPS,-4.13,2.25,3.06,3.19,3.0,0.0,0.0,0.0,2.07,0.0,1.87,0.0,0.0,0.0,1.93,1.56,1.63,-0.23
EPS Diluted,-4.13,2.23,3.02,3.12,2.89,0.0,0.0,0.0,2.0,0.0,1.8,0.0,0.0,0.0,1.86,1.5,1.61,-0.23
Weighted Average Shs Out,7889000.0,7848000.0,7782000.0,7595000.0,7423000.0,0.0,0.0,0.0,7231000.0,0.0,7041000.0,0.0,0.0,0.0,6781000.0,6710112.0,6642644.0,6576000.0
Weighted Average Shs Out (Dil),7889000.0,7919000.0,7886000.0,7765000.0,7708000.0,0.0,0.0,0.0,7511000.0,0.0,7326000.0,0.0,0.0,0.0,7008000.0,6693000.0,6608000.0,6576000.0
Dividend per Share,0.876917226518,0.851875236772,0.768704032463,0.702511268513,0.663596263622,0.0,0.0,0.0,0.575555851418,0.0,0.575075075075,0.0,0.0,0.0,0.361729452055,0.3,0.2,0.36
Gross Margin,0.157668827831,0.200782942884,0.231781877448,0.227349801842,0.235294621592,0.0,0.0,0.0,0.228627523413,0.0,0.234260944771,0.0,0.0,0.0,0.242208646109,0.2277,0.2291,0.1884
