Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-11-20,2011-12-31,2011-11-20,2010-12-31,2010-11-20,2009-12-31,2009-11-20
Revenue,2982000000.0,2625000000.0,2452000000.0,1628000000.0,1704000000.0,1706000000.0,1309000000.0,1169000000.0,1045000000.0,984000000.0,,,,
Revenue Growth,0.136,0.0705546492659054,0.506142506142506,-0.0446009389671361,-0.00117233294255569,0.303284950343774,0.119760479041916,0.11866028708134,0.0619918699186992,0.0,0.0,0.0,0.0,
Cost of Revenue,1036000000.0,978000000.0,1038000000.0,552000000.0,524000000.0,530000000.0,486000000.0,407000000.0,328000000.0,279000000.0,,,,
Gross Profit,1946000000.0,1647000000.0,1414000000.0,1076000000.0,1180000000.0,1176000000.0,823000000.0,823000000.0,762000000.0,762000000.0,717000000.0,717000000.0,705000000.0,705000000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SG&A Expense,80000000.0,82000000.0,62000000.0,48000000.0,51000000.0,41000000.0,36000000.0,1000000.0,0.0,0.0,,,,
Operating Expenses,899000000.0,864000000.0,843000000.0,664000000.0,599000000.0,576000000.0,519000000.0,519000000.0,469000000.0,469000000.0,446000000.0,446000000.0,321000000.0,321000000.0
Operating Income,1047000000.0,783000000.0,571000000.0,412000000.0,581000000.0,600000000.0,304000000.0,304000000.0,293000000.0,293000000.0,271000000.0,271000000.0,384000000.0,384000000.0
Interest Expense,705000000.0,632000000.0,606000000.0,429000000.0,415000000.0,410000000.0,411000000.0,411000000.0,411000000.0,411000000.0,404000000.0,404000000.0,348000000.0,348000000.0
Earnings before Tax,30000000.0,109000000.0,-49000000.0,-27000000.0,86000000.0,108000000.0,-60000000.0,-272000000.0,171000000.0,-892000000.0,,,,
Income Tax Expense,-59000000.0,88000000.0,-53000000.0,-60000000.0,-11000000.0,1000000.0,-40000000.0,-42000000.0,29000000.0,-312000000.0,,,,
Net Income - Non-Controlling int,314000000.0,30000000.0,36000000.0,70000000.0,106000000.0,108000000.0,-75000000.0,-75000000.0,-221000000.0,0.0,152000000.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,89000000.0,21000000.0,4000000.0,33000000.0,97000000.0,107000000.0,-20000000.0,-230000000.0,142000000.0,-580000000.0,,,,
Preferred Dividends,65000000.0,53000000.0,40000000.0,31000000.0,39000000.0,38000000.0,15000000.0,15000000.0,8000000.0,8000000.0,13000000.0,13000000.0,0.0,0.0
Net Income Com,24000000.0,-32000000.0,-36000000.0,2000000.0,58000000.0,69000000.0,-35000000.0,-238000000.0,129000000.0,-580000000.0,,,,
EPS,0.13,-0.18,-0.23,0.01,0.42,0.52,-0.26,-1.79,0.97,-2.32,,,,
EPS Diluted,0.13,-0.18,-0.23,0.01,0.42,0.52,-0.26,-1.79,0.97,-2.32,,,,
Weighted Average Shs Out,180388361.0,166839324.0,143356854.0,143356854.0,132984913.0,132984913.0,,,,,,,,
Weighted Average Shs Out (Dil),180388361.0,166839324.0,143356854.0,143356854.0,132984913.0,132984913.0,,,,,,,,
Dividend per Share,2.45,1.872,1.78,1.66,1.42,1.813,0.69,0.34,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.6526,0.6274,0.5767,0.6609,0.6925,0.6893,0.6287,0.6518,0.6861,0.7165,,,,
EBITDA Margin,0.521,0.58,0.546,0.625,0.616,0.617,0.637,0.637,0.519,0.33,0.977,1.122,-0.227,-0.227
EBIT Margin,0.2465,0.2823,0.2272,0.2469,0.294,0.3036,0.2681,0.1189,0.5502,-0.5528,,,,
Profit Margin,0.008,-0.012,-0.015,0.001,0.034,0.04,-0.027,-0.027,-0.204,-0.386,0.123,0.281,-0.589,-0.589
Free Cash Flow margin,0.2988,0.2754,0.1073,0.274,0.3016,0.2984,0.039,-0.355,-0.0785,0.2612,,,,
EBITDA,1554000000.0,1523000000.0,1338000000.0,1018000000.0,1049000000.0,1053000000.0,834000000.0,607000000.0,1021000000.0,-223000000.0,,,,
EBIT,735000000.0,741000000.0,557000000.0,402000000.0,501000000.0,518000000.0,351000000.0,351000000.0,139000000.0,-82000000.0,575000000.0,727000000.0,-544000000.0,-544000000.0
Consolidated Income,403000000.0,51000000.0,40000000.0,103000000.0,203000000.0,215000000.0,-95000000.0,-451000000.0,294000000.0,-580000000.0,,,,
Earnings Before Tax Margin,0.0101,0.0415,-0.02,-0.0166,0.0505,0.0633,-0.0458,-0.2327,0.1636,-0.9065,,,,
Net Profit Margin,0.0298,0.008,0.0016,0.0203,0.0569,0.0627,-0.0153,-0.1967,0.1359,-0.5894,,,,
