Date,2017-12-31,2016-12-31
Depreciation & Amortization,,
Stock-based compensation,0.0,
Operating Cash Flow,-140954.0,-386.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-45135000.0,
Investing Cash flow,-45135000.0,-45135000.0
Issuance (repayment) of debt,0.0,300000.0
Issuance (buybacks) of shares,47487500.0,42857.0
Dividend payments,0.0,0.0
Financing Cash Flow,45791203.0,77451.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,515249.0,
Free Cash Flow,-140954.0,
Net Cash/Marketcap,,
