Date,2018-01-31,2018-01,2017-01-31,2017-01,2016-01-31,2016-01,2014-12,2013-12
Cash and cash equivalents,255300000.0,255000000.0,277300000.0,277000000.0,427800000.0,428000000.0,471000000.0,79000000.0
Short-term investments,0.0,,0.0,,0.0,,,
Cash and short-term investments,255300000.0,,277300000.0,,427800000.0,,,
Receivables,316100000.0,316000000.0,261300000.0,261000000.0,259600000.0,260000000.0,308000000.0,201000000.0
Inventories,1407900000.0,1408000000.0,1381400000.0,1381000000.0,1295300000.0,1295000000.0,1289000000.0,1227000000.0
Total current assets,2031000000.0,1759000000.0,1959600000.0,1739000000.0,2022800000.0,1668000000.0,2148000000.0,1510000000.0
Property Plant & Equipment Net,286400000.0,286000000.0,248300000.0,248000000.0,260500000.0,260000000.0,332000000.0,92000000.0
Goodwill and Intangible Assets,1365400000.0,1366000000,1311200000.0,1311000000,1217600000.0,1218000000,1771000000,1415000000
Long-term investments,0.0,,0.0,,0.0,,,
Tax assets,74500000.0,74000000.0,147000000.0,147000000.0,163400000.0,163000000.0,000000.0,000000.0
Total non-current assets,1759000000.0,1233000000.0,1738700000.0,1220000000.0,1668200000.0,1227000000.0,1353000000.0,77000000.0
Total assets,3790000000.0,3790000000.0,3698300000.0,3698000000.0,3691000000.0,3691000000.0,4304000000.0,3064000000.0
Payables,180800000.0,181000000.0,166000000.0,166000000.0,145900000.0,146000000.0,150000000.0,107000000.0
Short-term debt,0.0,,0.0,,0.0,,,
Total current liabilities,287500000.0,288000000.0,257100000.0,257000000.0,261200000.0,261000000.0,330000000.0,188000000.0
Long-term debt,1184600000.0,1185000000.0,1182000000.0,1182000000.0,1179500000.0,1180000000.0,1200000000.0,000000.0
Total debt,1184600000.0,1185000000.0,1182000000.0,1182000000.0,1179500000.0,1180000000.0,1200000000.0,000000.0
Deferred revenue,0.0,,0.0,,0.0,,,
Tax Liabilities,10700000.0,6000000.0,10300000.0,5000000.0,11400000.0,16000000.0,124000000.0,66000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,,
Total non-current liabilities,1232600000.0,1233000000.0,1220100000.0,1220000000.0,1227300000.0,1227000000.0,1353000000.0,77000000.0
Total liabilities,1520100000.0,1520000000.0,1477200000.0,1477000000.0,1488500000.0,1488000000.0,1683000000.0,265000000.0
Other comprehensive income,2573800000,-24000000.0,2632100000,-84000000.0,2649900000,-74000000.0,-28000000.0,2799000000.0
Retained earnings (deficit),-280000000.0,-280000000.0,-328000000.0,-328000000.0,-373700000.0,-374000000.0,4000000.0,000000.0
Total shareholders equity,2269900000.0,2270000000.0,2221100000.0,2221000000.0,2202500000.0,2202000000.0,2620000000.0,2799000000.0
Investments,0.0,,0.0,,0.0,,,
Net Debt,929300000.0,930000000,904700000.0,905000000,751700000.0,752000000,729000000,-79000000
Other Assets,0.0,85000000,0.0,72000000,0.0,67000000,95000000,28000000
Other Liabilities,0.0,42000000,0.0,33000000,0.0,32000000,125000000,18000000
