Date,2018-12-31,2017-12-31
Cash and cash equivalents,20611000.0,6032000.0
Short-term investments,69456000.0,7196000.0
Cash and short-term investments,90067000.0,13228000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,90667000.0,13576000.0
Property Plant & Equipment Net,5152000.0,3743000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,5874000.0,3903000.0
Total assets,96541000.0,17479000.0
Payables,1417000.0,662000.0
Short-term debt,0.0,0.0
Total current liabilities,5413000.0,2434000.0
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,1685000.0,4700000.0
Total liabilities,7098000.0,7134000.0
Other comprehensive income,-31000.0,-1000.0
Retained earnings (deficit),-50516000.0,-16170000.0
Total shareholders equity,-48948000.0,-15739000.0
Investments,69456000.0,7196000.0
Net Debt,-90067000.0,-13228000.0
Other Assets,600000.0,348000.0
Other Liabilities,3996000.0,1772000.0
