Date,2018-12-31,2017-12-31
Depreciation & Amortization,640000.0,398000.0
Stock-based compensation,867000.0,770000.0
Operating Cash Flow,-14998000.0,-11913000.0
Capital Expenditure,-2150000.0,-1297000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-2150000.0,-1297000.0
Issuance (repayment) of debt,425000.0,747000.0
Issuance (buybacks) of shares,9000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,6873000.0,58892000.0
Effect of forex changes on cash,-2507000.0,2494000.0
Net cash flow / Change in cash,-10275000.0,45682000.0
Free Cash Flow,-17148000.0,-13210000.0
Net Cash/Marketcap,0.1635,0.1635
