Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-931031.0,-163730.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-158355000.0,
Investing Cash flow,-158030499.0,-158030499.0
Issuance (repayment) of debt,-200000.0,400000.0
Issuance (buybacks) of shares,163010000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,159138796.0,202806.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,177266.0,
Free Cash Flow,-931031.0,
Net Cash/Marketcap,0.001,
