Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Depreciation & Amortization,76128000.0,52475000.0,52000000.0,45965000.0,46000000.0,38203000.0,38000000.0,16451000.0,16000000.0,13086000.0,13000000.0
Stock-based compensation,0.0,0.0,,0.0,,0.0,,0.0,,105000.0,
Operating Cash Flow,350542000.0,288931000.0,289000000.0,229894000.0,230000000.0,131430000.0,131000000.0,83906000.0,84000000.0,60687000.0,61000000.0
Capital Expenditure,24216000.0,38516000.0,-39000000.0,23156000.0,-23000000.0,30969000.0,-31000000.0,11227000.0,-91000000.0,13831000.0,-14000000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Investment purchases and sales,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Investing Cash flow,-24208000.0,-517851000.0,-518000000.0,-126732000.0,-127000000.0,-421031000.0,-421000000.0,-91289000.0,-91000000.0,-13831000.0,-14000000.0
Issuance (repayment) of debt,-495000000.0,-0.0,000000.0,-494913000.0,-495000000.0,-211200000.0,-211000000.0,-0.0,-1000000.0,-0.0,-1000000.0
Issuance (buybacks) of shares,-152106000.0,-42052000.0,,-71491000.0,,-80783000.0,,-236579000.0,,-375118000.0,
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Financing Cash Flow,-216280000.0,199481000.0,199000000.0,-112454000.0,-112000000.0,133805000.0,134000000.0,-131156000.0,-131000000.0,328262000.0,328000000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net cash flow / Change in cash,110054000.0,-29439000.0,-29000000.0,-9292000.0,-9000000.0,-155796000.0,-156000000.0,-138539000.0,-139000000.0,375118000.0,375000000.0
Free Cash Flow,326326000.0,250415000.0,250000000.0,206738000.0,207000000.0,100461000.0,100000000.0,72679000.0,-7000000.0,46856000.0,47000000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
